"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia VIRU (000)",30684,15492,3135,2625,9432
"Empleado (001)",3145,1194,345,434,1172
"Obrero (002)",16611,4481,1875,2081,8174
"Trabajador independiente (003)",8429,7759,670,,
"Empleador o patrono (004)",588,409,74,50,55
"Trabajador familiar no remunerado (005)",1510,1248,171,60,31
"Trabajador del hogar (006)",401,401,,,
"De 06 a 14 años (008)",606,389,117,73,27
"Empleado (009)",32,27,4,1,
"Obrero (010)",235,104,57,52,22
"Trabajador independiente (011)",85,75,10,,
"Empleador o patrono (012)",1,,1,,
"Trabajador familiar no remunerado (013)",224,154,45,20,5
"Trabajador del hogar (014)",29,29,,,
"De 15 a 29 años (016)",14482,5742,1534,1368,5838
"Empleado (017)",1535,615,186,174,560
"Obrero (018)",9279,1929,969,1156,5225
"Trabajador independiente (019)",2532,2260,272,,
"Empleador o patrono (020)",133,66,22,12,33
"Trabajador familiar no remunerado (021)",761,630,85,26,20
"Trabajador del hogar (022)",242,242,,,
"De 30 a 44 años (024)",9372,4909,880,804,2779
"Empleado (025)",1105,365,98,183,459
"Obrero (026)",4700,1303,513,586,2298
"Trabajador independiente (027)",2965,2747,218,,
"Empleador o patrono (028)",216,144,27,27,18
"Trabajador familiar no remunerado (029)",311,275,24,8,4
"Trabajador del hogar (030)",75,75,,,
"De 45 a 64 años (032)",5042,3479,482,345,736
"Empleado (033)",427,161,51,72,143
"Obrero (034)",2032,906,277,259,590
"Trabajador independiente (035)",2212,2085,127,,
"Empleador o patrono (036)",164,134,17,10,3
"Trabajador familiar no remunerado (037)",161,147,10,4,
"Trabajador del hogar (038)",46,46,,,
"De 65 y más años (040)",1182,973,122,35,52
"Empleado (041)",46,26,6,4,10
"Obrero (042)",365,239,59,28,39
"Trabajador independiente (043)",635,592,43,,
"Empleador o patrono (044)",74,65,7,1,1
"Trabajador familiar no remunerado (045)",53,42,7,2,2
"Trabajador del hogar (046)",9,9,,,
,,,,,
"URBANA (048)",24084,10763,2337,2231,8753
"Empleado (049)",2818,1041,300,376,1101
"Obrero (050)",13126,2465,1312,1775,7574
"Trabajador independiente (051)",6443,5899,544,,
"Empleador o patrono (052)",350,219,49,31,51
"Trabajador familiar no remunerado (053)",1009,801,132,49,27
