"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUAROCHIRI (000)",64644,2327,883,21627,26178,3753,3445,2511,3920
"Hombres (001)",34356,589,456,10353,15319,2139,1865,1488,2147
"Mujeres (002)",30288,1738,427,11274,10859,1614,1580,1023,1773
"PEA (003)",33548,822,24,8064,15036,2472,2537,1529,3064
"Hombres (004)",22810,316,11,4937,11218,1747,1640,1063,1878
"Mujeres (005)",10738,506,13,3127,3818,725,897,466,1186
"Ocupada (006)",32612,809,23,7906,14544,2402,2442,1488,2998
"Hombres (007)",22181,309,11,4828,10854,1702,1596,1034,1847
"Mujeres (008)",10431,500,12,3078,3690,700,846,454,1151
"Desocupada (009)",936,13,1,158,492,70,95,41,66
"Hombres (010)",629,7,,109,364,45,44,29,31
"Mujeres (011)",307,6,1,49,128,25,51,12,35
"No PEA (012)",31096,1505,859,13563,11142,1281,908,982,856
"Hombres (013)",11546,273,445,5416,4101,392,225,425,269
"Mujeres (014)",19550,1232,414,8147,7041,889,683,557,587
,,,,,,,,,
"URBANA (018)",43878,1411,583,13357,17830,2772,2685,2021,3219
"Hombres (019)",22440,307,312,6146,9892,1526,1392,1172,1693
"Mujeres (020)",21438,1104,271,7211,7938,1246,1293,849,1526
"PEA (021)",21997,465,18,4399,9671,1773,1970,1188,2513
"Hombres (022)",14165,151,8,2455,6887,1199,1193,800,1472
"Mujeres (023)",7832,314,10,1944,2784,574,777,388,1041
"Ocupada (024)",21279,457,18,4289,9299,1718,1889,1154,2455
"Hombres (025)",13689,147,8,2381,6619,1161,1154,776,1443
"Mujeres (026)",7590,310,10,1908,2680,557,735,378,1012
"Desocupada (027)",718,8,,110,372,55,81,34,58
"Hombres (028)",476,4,,74,268,38,39,24,29
"Mujeres (029)",242,4,,36,104,17,42,10,29
"No PEA (030)",21881,946,565,8958,8159,999,715,833,706
"Hombres (031)",8275,156,304,3691,3005,327,199,372,221
"Mujeres (032)",13606,790,261,5267,5154,672,516,461,485
,,,,,,,,,
"RURAL (036)",20766,916,300,8270,8348,981,760,490,701
"Hombres (037)",11916,282,144,4207,5427,613,473,316,454
"Mujeres (038)",8850,634,156,4063,2921,368,287,174,247
"PEA (039)",11551,357,6,3665,5365,699,567,341,551
"Hombres (040)",8645,165,3,2482,4331,548,447,263,406
"Mujeres (041)",2906,192,3,1183,1034,151,120,78,145
"Ocupada (042)",11333,352,5,3617,5245,684,553,334,543
"Hombres (043)",8492,162,3,2447,4235,541,442,258,404
"Mujeres (044)",2841,190,2,1170,1010,143,111,76,139
"Desocupada (045)",218,5,1,48,120,15,14,7,8
"Hombres (046)",153,3,,35,96,7,5,5,2
"Mujeres (047)",65,2,1,13,24,8,9,2,6
"No PEA (048)",9215,559,294,4605,2983,282,193,149,150
"Hombres (049)",3271,117,141,1725,1096,65,26,53,48
"Mujeres (050)",5944,442,153,2880,1887,217,167,96,102
