"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",28721,4930,8046,6992,8753
"Asiste actualmente (001)",15944,1772,7242,5334,1596
"No asiste (002)",12777,3158,804,1658,7157
"Hombres (004)",15025,2525,4096,3608,4796
"Asiste actualmente (005)",8378,920,3686,2816,956
"No asiste (006)",6647,1605,410,792,3840
"Mujeres (008)",13696,2405,3950,3384,3957
"Asiste actualmente (009)",7566,852,3556,2518,640
"No asiste (010)",6130,1553,394,866,3317
,,,,,
"URBANA (012)",8525,1378,2149,2281,2717
"Asiste actualmente (013)",5389,630,1989,2005,765
"No asiste (014)",3136,748,160,276,1952
"Hombres (016)",4359,695,1069,1161,1434
"Asiste actualmente (017)",2744,300,985,1041,418
"No asiste (018)",1615,395,84,120,1016
"Mujeres (020)",4166,683,1080,1120,1283
"Asiste actualmente (021)",2645,330,1004,964,347
"No asiste (022)",1521,353,76,156,936
,,,,,
"RURAL (024)",20196,3552,5897,4711,6036
"Asiste actualmente (025)",10555,1142,5253,3329,831
"No asiste (026)",9641,2410,644,1382,5205
"Hombres (028)",10666,1830,3027,2447,3362
"Asiste actualmente (029)",5634,620,2701,1775,538
"No asiste (030)",5032,1210,326,672,2824
"Mujeres (032)",9530,1722,2870,2264,2674
"Asiste actualmente (033)",4921,522,2552,1554,293
"No asiste (034)",4609,1200,318,710,2381
