"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PARINACOCHAS (000)",291,5,157,81,38,10
"Conviviente (001)",91,,44,40,7,
"Separado(a) (002)",17,,5,5,6,1
"Casado(a) (003)",58,,6,26,18,8
"Viudo(a) (004)",6,,1,1,4,
"Soltero(a) (006)",119,5,101,9,3,1
"Hombres (008)",198,2,99,59,30,8
"Conviviente (009)",63,,24,32,7,
"Separado(a) (010)",11,,2,3,5,1
"Casado(a) (011)",40,,4,18,12,6
"Viudo(a) (012)",5,,1,,4,
"Soltero(a) (014)",79,2,68,6,2,1
"Mujeres (016)",93,3,58,22,8,2
"Conviviente (017)",28,,20,8,,
"Separado(a) (018)",6,,3,2,1,
"Casado(a) (019)",18,,2,8,6,2
"Viudo(a) (020)",1,,,1,,
"Soltero(a) (022)",40,3,33,3,1,
,,,,,,
"AREA URBANA (024)",200,2,112,53,27,6
"Conviviente (025)",68,,37,28,3,
"Separado(a) (026)",8,,3,2,3,
"Casado(a) (027)",44,,4,17,17,6
"Viudo(a) (028)",4,,,1,3,
"Soltero(a) (030)",76,2,68,5,1,
"Hombres (032)",123,1,64,34,20,4
"Conviviente (033)",42,,19,20,3,
"Separado(a) (034)",5,,1,1,3,
"Casado(a) (035)",28,,2,11,11,4
"Viudo(a) (036)",3,,,,3,
"Soltero(a) (038)",45,1,42,2,,
"Mujeres (040)",77,1,48,19,7,2
"Conviviente (041)",26,,18,8,,
"Separado(a) (042)",3,,2,1,,
"Casado(a) (043)",16,,2,6,6,2
"Viudo(a) (044)",1,,,1,,
"Soltero(a) (046)",31,1,26,3,1,
,,,,,,
"AREA RURAL (048)",91,3,45,28,11,4
"Conviviente (049)",23,,7,12,4,
"Separado(a) (050)",9,,2,3,3,1
"Casado(a) (051)",14,,2,9,1,2
"Viudo(a) (052)",2,,1,,1,
"Soltero(a) (054)",43,3,33,4,2,1
"Hombres (056)",75,1,35,25,10,4
"Conviviente (057)",21,,5,12,4,
"Separado(a) (058)",6,,1,2,2,1
"Casado(a) (059)",12,,2,7,1,2
"Viudo(a) (060)",2,,1,,1,
"Soltero(a) (062)",34,1,26,4,2,1
"Mujeres (064)",16,2,10,3,1,
"Conviviente (065)",2,,2,,,
"Separado(a) (066)",3,,1,1,1,
"Casado(a) (067)",2,,,2,,
"Soltero(a) (070)",9,2,7,,,
