"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia SAN ANTONIO DE PUTINA (000)",15253,6210,9043
"Red pública dentro de la vivienda (001)",776,624,152
"Red pública fuera de la vivienda (002)",2153,1612,541
"Pilón de uso público (003)",607,180,427
"Camión - cisterna u otro similar (004)",2932,1254,1678
"Pozo (005)",2359,408,1951
"Río, acequia, manatial o similar (006)",3013,586,2427
"Vecino (007)",400,170,230
"Otro (008)",3013,1376,1637
,,,
"URBANA (010)",10003,5692,4311
"Red pública dentro de la vivienda (011)",751,622,129
"Red pública fuera de la vivienda (012)",1981,1611,370
"Pilón de uso público (013)",206,133,73
"Camión - cisterna u otro similar (014)",2170,954,1216
"Pozo (015)",762,391,371
"Río, acequia, manatial o similar (016)",1029,523,506
"Vecino (017)",373,170,203
"Otro (018)",2731,1288,1443
,,,
"RURAL (020)",5250,518,4732
"Red pública dentro de la vivienda (021)",25,2,23
"Red pública fuera de la vivienda (022)",172,1,171
"Pilón de uso público (023)",401,47,354
"Camión - cisterna u otro similar (024)",762,300,462
"Pozo (025)",1597,17,1580
"Río, acequia, manatial o similar (026)",1984,63,1921
"Vecino (027)",27,,27
"Otro (028)",282,88,194
