"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia BAGUA (000)",71362,1710,26149,18635,13216,8568,3084
"Jefe o Jefa (001)",17055,,45,3358,6478,5173,2001
"Esposa(o) / compañera(o) (002)",11354,,29,3695,4496,2569,565
"Hijo(a) / hijastro(a) (003)",32769,1279,21383,8580,1315,211,1
"Yerno / nuera (004)",833,,14,594,204,21,
"Nieto(a) (005)",3531,292,2772,442,25,,
"Padres / suegros (006)",576,,,2,19,185,370
"Otro(a) pariente (007)",4306,137,1778,1478,500,301,112
"Trabajador(a) del hogar (008)",136,,13,100,17,4,2
"Pensionistas (009)",60,,5,32,12,7,4
"Otro(a) no pariente (010)",742,2,110,354,150,97,29
"Hombres (011)",36424,863,13379,9235,6678,4555,1714
"Jefe o Jefa (012)",13299,,26,2556,5212,4031,1474
"Esposa(o) / compañera(o) (013)",457,,12,154,169,83,39
"Hijo(a) / hijastro(a) (014)",17360,654,10915,4940,732,118,1
"Yerno / nuera (015)",364,,4,214,130,16,
"Nieto(a) (016)",1827,140,1403,269,15,,
"Padres / suegros (017)",192,,,1,8,58,125
"Otro(a) pariente (018)",2454,68,962,890,311,171,52
"Trabajador(a) del hogar (019)",12,,1,7,2,2,
"Pensionistas (020)",35,,4,15,8,4,4
"Otro(a) no pariente (021)",424,1,52,189,91,72,19
"Mujeres (022)",34938,847,12770,9400,6538,4013,1370
"Jefe o Jefa (023)",3756,,19,802,1266,1142,527
"Esposa(o) / compañera(o) (024)",10897,,17,3541,4327,2486,526
"Hijo(a) / hijastro(a) (025)",15409,625,10468,3640,583,93,
"Yerno / nuera (026)",469,,10,380,74,5,
"Nieto(a) (027)",1704,152,1369,173,10,,
"Padres / suegros (028)",384,,,1,11,127,245
"Otro(a) pariente (029)",1852,69,816,588,189,130,60
"Trabajador(a) del hogar (030)",124,,12,93,15,2,2
"Pensionistas (031)",25,,1,17,4,3,
"Otro(a) no pariente (032)",318,1,58,165,59,25,10
,,,,,,,
"URBANA (033)",33172,642,10376,8869,6941,4649,1695
"Jefe o Jefa (034)",8623,,30,1408,3288,2802,1095
"Esposa(o) / compañera(o) (035)",5179,,14,1305,2256,1323,281
"Hijo(a) / hijastro(a) (036)",13759,419,8011,4374,810,144,1
"Yerno / nuera (037)",452,,3,299,134,16,
"Nieto(a) (038)",1885,169,1461,239,16,,
"Padres / suegros (039)",364,,,2,12,121,229
"Otro(a) pariente (040)",2210,52,763,852,300,174,69
"Trabajador(a) del hogar (041)",113,,9,87,14,3,
"Pensionistas (042)",41,,5,25,3,4,4
"Otro(a) no pariente (043)",546,2,80,278,108,62,16
"Hombres (044)",16451,322,5320,4163,3303,2408,935
"Jefe o Jefa (045)",6298,,15,932,2473,2100,778
"Esposa(o) / compañera(o) (046)",261,,7,80,99,49,26
"Hijo(a) / hijastro(a) (047)",7122,215,4127,2296,408,75,1
"Yerno / nuera (048)",187,,1,96,77,13,
"Nieto(a) (049)",966,76,738,143,9,,
"Padres / suegros (050)",123,,,1,4,35,83
"Otro(a) pariente (051)",1186,30,390,467,173,91,35
"Trabajador(a) del hogar (052)",9,,1,5,2,1,
"Pensionistas (053)",22,,4,10,2,2,4
"Otro(a) no pariente (054)",277,1,37,133,56,42,8
"Mujeres (055)",16721,320,5056,4706,3638,2241,760
"Jefe o Jefa (056)",2325,,15,476,815,702,317
"Esposa(o) / compañera(o) (057)",4918,,7,1225,2157,1274,255
"Hijo(a) / hijastro(a) (058)",6637,204,3884,2078,402,69,
"Yerno / nuera (059)",265,,2,203,57,3,
"Nieto(a) (060)",919,93,723,96,7,,
"Padres / suegros (061)",241,,,1,8,86,146
"Otro(a) pariente (062)",1024,22,373,385,127,83,34
"Trabajador(a) del hogar (063)",104,,8,82,12,2,
"Pensionistas (064)",19,,1,15,1,2,
"Otro(a) no pariente (065)",269,1,43,145,52,20,8
,,,,,,,
"RURAL (066)",38190,1068,15773,9766,6275,3919,1389
"Jefe o Jefa (067)",8432,,15,1950,3190,2371,906
"Esposa(o) / compañera(o) (068)",6175,,15,2390,2240,1246,284
"Hijo(a) / hijastro(a) (069)",19010,860,13372,4206,505,67,
"Yerno / nuera (070)",381,,11,295,70,5,
"Nieto(a) (071)",1646,123,1311,203,9,,
"Padres / suegros (072)",212,,,,7,64,141
"Otro(a) pariente (073)",2096,85,1015,626,200,127,43
"Trabajador(a) del hogar (074)",23,,4,13,3,1,2
"Pensionistas (075)",19,,,7,9,3,
"Otro(a) no pariente (076)",196,,30,76,42,35,13
"Hombres (077)",19973,541,8059,5072,3375,2147,779
"Jefe o Jefa (078)",7001,,11,1624,2739,1931,696
"Esposa(o) / compañera(o) (079)",196,,5,74,70,34,13
"Hijo(a) / hijastro(a) (080)",10238,439,6788,2644,324,43,
"Yerno / nuera (081)",177,,3,118,53,3,
"Nieto(a) (082)",861,64,665,126,6,,
"Padres / suegros (083)",69,,,,4,23,42
"Otro(a) pariente (084)",1268,38,572,423,138,80,17
"Trabajador(a) del hogar (085)",3,,,2,,1,
"Pensionistas (086)",13,,,5,6,2,
"Otro(a) no pariente (087)",147,,15,56,35,30,11
"Mujeres (088)",18217,527,7714,4694,2900,1772,610
"Jefe o Jefa (089)",1431,,4,326,451,440,210
"Esposa(o) / compañera(o) (090)",5979,,10,2316,2170,1212,271
"Hijo(a) / hijastro(a) (091)",8772,421,6584,1562,181,24,
"Yerno / nuera (092)",204,,8,177,17,2,
"Nieto(a) (093)",785,59,646,77,3,,
"Padres / suegros (094)",143,,,,3,41,99
"Otro(a) pariente (095)",828,47,443,203,62,47,26
"Trabajador(a) del hogar (096)",20,,4,11,3,,2
"Pensionistas (097)",6,,,2,3,1,
