"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia BOLIVAR (000)",3803,3664,15,493,588,552,874,673,350,119,139,15777
"De 12 a 14 años (001)",5,2,,2,,,,,,,3,2
"De 15 a 19 años (002)",133,119,3,98,14,4,,,,,14,138
"De 20 a 24 años (003)",406,366,3,154,130,58,20,1,,,40,677
"De 25 a 29 años (004)",470,445,1,88,150,119,81,5,1,,25,1135
"De 30 a 34 años (005)",457,444,,55,103,95,134,51,5,1,13,1510
"De 35 a 39 años (006)",467,463,,26,63,97,156,91,25,5,4,1979
"De 40 a 44 años (007)",424,415,1,12,34,46,137,122,51,12,9,2161
"De 45 a 49 años (008)",352,345,1,21,21,35,93,92,67,15,7,1902
"De 50 y más años (009)",1089,1065,6,37,73,98,253,311,201,86,24,6273
"PEA (010)",681,641,3,113,124,129,142,81,39,10,40,2343
"De 12 a 14 años (011)",1,,,,,,,,,,1,
"De 15 a 19 años (012)",18,17,,12,4,1,,,,,1,23
"De 20 a 24 años (013)",65,55,,30,13,9,3,,,,10,95
"De 25 a 29 años (014)",83,70,1,21,16,24,8,,,,13,162
"De 30 a 34 años (015)",109,101,,30,32,19,16,4,,,8,248
"De 35 a 39 años (016)",90,88,,7,29,16,28,8,,,2,286
"De 40 a 44 años (017)",99,97,,2,14,19,35,18,7,2,2,438
"De 45 a 49 años (018)",78,77,,7,7,18,21,10,14,,1,352
"De 50 y más años (019)",138,136,2,4,9,23,31,41,18,8,2,739
"Ocupada (020)",670,632,3,111,121,126,142,81,38,10,38,2317
"De 12 a 14 años (021)",1,,,,,,,,,,1,
"De 15 a 19 años (022)",18,17,,12,4,1,,,,,1,23
"De 20 a 24 años (023)",63,54,,30,12,9,3,,,,9,93
