"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TALARA (000)",254,209,45
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",135,99,36
"Casa pensión (003)",61,57,4
"Hospital, clinica (004)",8,8,
"Cárcel, centro de readaptación social (005)",1,1,
"Otro (008)",39,37,2
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",10,7,3
