"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia YAULI (000)",17621,39706,37047,,738,93.3,1.9
"De 12 a 14 años (001)",1680,8,8,,,100,
"De 15 a 19 años (002)",2110,264,258,80,97.7,30.3,
"De 20 a 24 años (003)",2053,1630,1597,189,98,11.6,
"De 25 a 29 años (004)",1990,2777,2701,176,97.3,6.3,
"De 30 a 34 años (005)",1942,4125,4004,169,97.1,4.1,
"De 35 a 39 años (006)",1805,4984,4822,86,96.7,1.7,
"De 40 a 44 años (007)",1620,5345,5127,33,95.9,0.6,
"De 45 a 49 años (008)",1261,4673,4420,5,94.6,0.1,
"De 50 y más años (009)",3160,15900,14110,,88.7,,
"PEA (010)",5189,11589,10885,147,93.9,1.3,
"De 12 a 14 años (011)",33,1,1,,100,,
"De 15 a 19 años (012)",329,55,51,7,92.7,12.7,
"De 20 a 24 años (013)",672,376,367,25,97.6,6.6,
"De 25 a 29 años (014)",743,746,727,44,97.5,5.9,
"De 30 a 34 años (015)",688,1103,1079,30,97.8,2.7,
"De 35 a 39 años (016)",681,1678,1616,25,96.3,1.5,
"De 40 a 44 años (017)",616,1801,1739,13,96.6,0.7,
"De 45 a 49 años (018)",480,1709,1630,3,95.4,0.2,
"De 50 y más años (019)",947,4120,3675,,89.2,,
"Ocupada (020)",4955,11339,10649,137,93.9,1.2,
"De 12 a 14 años (021)",31,1,1,,100,,
"De 15 a 19 años (022)",299,52,48,6,92.3,11.5,
"De 20 a 24 años (023)",615,346,338,22,97.7,6.4,
"De 25 a 29 años (024)",681,712,694,40,97.5,5.6,
"De 30 a 34 años (025)",658,1073,1050,30,97.9,2.8,
"De 35 a 39 años (026)",661,1632,1570,23,96.2,1.4,
"De 40 a 44 años (027)",600,1770,1710,13,96.6,0.7,
"De 45 a 49 años (028)",475,1689,1612,3,95.4,0.2,
"De 50 y más años (029)",935,4064,3626,,89.2,,
"Desocupada (030)",234,250,236,10,94.4,4,
"De 12 a 14 años (031)",2,,,,,,
"De 15 a 19 años (032)",30,3,3,1,100,33.3,
"De 20 a 24 años (033)",57,30,29,3,96.7,10,
"De 25 a 29 años (034)",62,34,33,4,97.1,11.8,
"De 30 a 34 años (035)",30,30,29,,96.7,,
"De 35 a 39 años (036)",20,46,46,2,100,4.3,
