"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia MARISCAL CACERES (000)",20469,16916,1633,918,1002
"Agric., ganadería, caza y silvicultura (001)",11249,10274,852,112,11
"Pesca (002)",27,26,,,1
"Explotación de minas y canteras (003)",6,1,4,,1
"Industrias manufactureras (004)",823,674,74,43,32
"Suministro de electricidad, gas y agua (005)",27,4,3,19,1
"Construcción (006)",475,308,77,59,31
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2280,2131,117,28,4
"Venta, mant.y rep. veh.autom y motoc. (008)",275,242,21,10,2
"Comercio al por mayor (009)",115,101,8,4,2
"Comercio al por menor (010)",1890,1788,88,14,
"Hoteles y restaurantes (011)",605,559,34,7,5
"Trans., almac. y comunicaciones (012)",1054,866,106,52,30
"Intermediación financiera (013)",34,6,13,9,6
"Activid.inmobil., empres. y alquileres (014)",329,193,47,59,30
"Admin.pub. y defensa; p. segur soc.afil (015)",511,,,,511
"Enseñanza (016)",1049,257,187,442,163
"Servicios sociales y de salud (017)",222,70,4,13,135
"Otras activ. serv.comun.soc y personales (018)",331,224,58,39,10
"Hogares privados con servicio doméstico (019)",832,832,,,
"Actividad economica no especificada (021)",615,491,57,36,31
"Hombres (022)",15061,12543,1263,593,662
"Agric., ganadería, caza y silvicultura (023)",9788,8972,719,89,8
"Pesca (024)",25,24,,,1
"Explotación de minas y canteras (025)",6,1,4,,1
"Industrias manufactureras (026)",673,537,66,40,30
"Suministro de electricidad, gas y agua (027)",24,4,3,16,1
"Construcción (028)",465,304,76,54,31
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1233,1132,79,19,3
"Venta, mant.y rep. veh.autom y motoc. (030)",233,201,20,10,2
"Comercio al por mayor (031)",67,56,7,3,1
"Comercio al por menor (032)",933,875,52,6,
"Hoteles y restaurantes (033)",134,118,9,2,5
"Trans., almac. y comunicaciones (034)",981,811,98,45,27
"Intermediación financiera (035)",23,4,8,6,5
"Activid.inmobil., empres. y alquileres (036)",247,143,36,44,24
"Admin.pub. y defensa; p. segur soc.afil (037)",362,,,,362
"Enseñanza (038)",504,102,101,223,78
"Servicios sociales y de salud (039)",105,40,1,2,62
"Otras activ. serv.comun.soc y personales (040)",206,125,40,35,6
"Hogares privados con servicio doméstico (041)",37,37,,,
