"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia CHOTA",,,,,
"Viviendas particulares (001)",3001,709,521,914,857
"Ocupantes presentes (002)",12669,2999,2182,3816,3672
"Casa independiente",,,,,
"Viviendas particulares (004)",2969,702,514,907,846
"Ocupantes presentes (005)",12570,2969,2163,3797,3641
"Departamento en edificio",,,,,
"Viviendas particulares (007)",11,,4,1,6
"Ocupantes presentes (008)",30,,13,3,14
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",9,1,2,4,2
"Ocupantes presentes (011)",33,14,2,9,8
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",3,,,2,1
"Ocupantes presentes (014)",11,,,7,4
"Choza o cabaña",,,,,
"Viviendas particulares (016)",7,5,1,,1
"Ocupantes presentes (017)",21,15,4,,2
"Vivienda improvisada",,,,,
"Viviendas particulares (019)",1,1,,,
"Ocupantes presentes (020)",1,1,,,
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (022)",1,,,,1
"Ocupantes presentes (023)",3,,,,3
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",665,138,82,209,236
"Ocupantes presentes (029)",2586,465,329,827,965
"Casa independiente",,,,,
"Viviendas particulares (031)",640,136,76,202,226
"Ocupantes presentes (032)",2508,450,314,808,936
"Departamento en edificio",,,,,
"Viviendas particulares (034)",11,,4,1,6
"Ocupantes presentes (035)",30,,13,3,14
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",9,1,2,4,2
"Ocupantes presentes (038)",33,14,2,9,8
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",3,,,2,1
"Ocupantes presentes (041)",11,,,7,4
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (046)",1,1,,,
"Ocupantes presentes (047)",1,1,,,
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (049)",1,,,,1
"Ocupantes presentes (050)",3,,,,3
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",2336,571,439,705,621
"Ocupantes presentes (056)",10083,2534,1853,2989,2707
"Casa independiente",,,,,
"Viviendas particulares (058)",2329,566,438,705,620
"Ocupantes presentes (059)",10062,2519,1849,2989,2705
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (070)",7,5,1,,1
"Ocupantes presentes (071)",21,15,4,,2
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
