"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SANTA (000)",7507,1569,5938
"De 14 a 29 años (001)",3660,1210,2450
"De 30 a 44 años (002)",2243,304,1939
"De 45 a 64 años (003)",1365,55,1310
"De 65 y más años (004)",239,,239
"Hombres (005)",5379,993,4386
"De 14 a 29 años (006)",2468,784,1684
"De 30 a 44 años (007)",1576,183,1393
"De 45 a 64 años (008)",1125,26,1099
"De 65 y más años (009)",210,,210
"Mujeres (010)",2128,576,1552
"De 14 a 29 años (011)",1192,426,766
"De 30 a 44 años (012)",667,121,546
"De 45 a 64 años (013)",240,29,211
"De 65 y más años (014)",29,,29
,,,
"AREA URBANA (015)",7145,1468,5677
"De 14 a 29 años (016)",3486,1138,2348
"De 30 a 44 años (017)",2153,278,1875
"De 45 a 64 años (018)",1295,52,1243
"De 65 y más años (019)",211,,211
"Hombres (020)",5062,909,4153
"De 14 a 29 años (021)",2330,727,1603
"De 30 a 44 años (022)",1492,159,1333
"De 45 a 64 años (023)",1058,23,1035
"De 65 y más años (024)",182,,182
"Mujeres (025)",2083,559,1524
"De 14 a 29 años (026)",1156,411,745
"De 30 a 44 años (027)",661,119,542
"De 45 a 64 años (028)",237,29,208
"De 65 y más años (029)",29,,29
,,,
"AREA RURAL (030)",362,101,261
"De 14 a 29 años (031)",174,72,102
"De 30 a 44 años (032)",90,26,64
"De 45 a 64 años (033)",70,3,67
"De 65 y más años (034)",28,,28
"Hombres (035)",317,84,233
"De 14 a 29 años (036)",138,57,81
"De 30 a 44 años (037)",84,24,60
"De 45 a 64 años (038)",67,3,64
"De 65 y más años (039)",28,,28
"Mujeres (040)",45,17,28
"De 14 a 29 años (041)",36,15,21
"De 30 a 44 años (042)",6,2,4
"De 45 a 64 años (043)",3,,3
