"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia PARINACOCHAS",,,,,,,,,
"Viviendas particulares (001)",8040,3030,2450,1096,721,256,207,93,187
"Ocupantes presentes (002)",29306,9387,8979,4515,3039,1206,922,438,820
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",7320,2604,2259,1028,697,248,207,92,185
"Ocupantes presentes (005)",27090,8256,8277,4257,2952,1175,922,436,815
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",28,9,7,4,3,2,,1,2
"Ocupantes presentes (011)",127,34,44,27,8,7,,2,5
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",35,18,12,,5,,,,
"Ocupantes presentes (014)",117,37,58,,22,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",552,319,156,56,15,6,,,
"Ocupantes presentes (017)",1606,810,522,196,54,24,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",85,64,13,7,1,,,,
"Ocupantes presentes (020)",319,217,66,33,3,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",10,6,3,1,,,,,
"Ocupantes presentes (023)",29,15,12,2,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",10,10,,,,,,,
"Ocupantes presentes (026)",18,18,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",4328,1184,1300,661,529,212,181,84,177
"Ocupantes presentes (029)",17079,3847,5091,2851,2299,1022,809,387,773
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",4173,1089,1266,649,520,210,181,83,175
"Ocupantes presentes (032)",16495,3548,4915,2789,2266,1015,809,385,768
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",28,9,7,4,3,2,,1,2
"Ocupantes presentes (038)",127,34,44,27,8,7,,2,5
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",35,18,12,,5,,,,
"Ocupantes presentes (041)",117,37,58,,22,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",85,64,13,7,1,,,,
"Ocupantes presentes (047)",319,217,66,33,3,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",7,4,2,1,,,,,
"Ocupantes presentes (050)",21,11,8,2,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",3712,1846,1150,435,192,44,26,9,10
"Ocupantes presentes (056)",12227,5540,3888,1664,740,184,113,51,47
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",3147,1515,993,379,177,38,26,9,10
"Ocupantes presentes (059)",10595,4708,3362,1468,686,160,113,51,47
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",552,319,156,56,15,6,,,
"Ocupantes presentes (071)",1606,810,522,196,54,24,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",3,2,1,,,,,,
"Ocupantes presentes (077)",8,4,4,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",10,10,,,,,,,
"Ocupantes presentes (080)",18,18,,,,,,,
