"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SAN IGNACIO (000)",34131,5381,28750
"Casa independiente (001)",32639,4827,27812
"Departamento en edificio (002)",27,27,
"Vivienda en quinta (003)",198,198,
"Vivienda en casa de vecindad (004)",299,299,
"Choza o cabaña (005)",919,,919
"Vivienda improvisada (006)",20,20,
"Local no dest.para hab. humana (007)",23,7,16
"Otro tipo (008)",6,3,3
