"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia NAZCA",,,,,
"Viviendas particulares (001)",1048,211,230,362,245
"Ocupantes presentes (002)",3856,715,888,1302,951
"Casa independiente",,,,,
"Viviendas particulares (004)",1002,193,227,342,240
"Ocupantes presentes (005)",3707,659,877,1239,932
"Departamento en edificio",,,,,
"Viviendas particulares (007)",7,3,,3,1
"Ocupantes presentes (008)",25,8,,12,5
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",8,2,2,1,3
"Ocupantes presentes (011)",36,6,8,9,13
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",9,4,1,4,
"Ocupantes presentes (014)",32,13,3,16,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (019)",20,9,,11,
"Ocupantes presentes (020)",54,29,,25,
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (022)",2,,,1,1
"Ocupantes presentes (023)",2,,,1,1
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",970,174,209,347,240
"Ocupantes presentes (029)",3608,605,814,1246,943
"Casa independiente",,,,,
"Viviendas particulares (031)",924,156,206,327,235
"Ocupantes presentes (032)",3459,549,803,1183,924
"Departamento en edificio",,,,,
"Viviendas particulares (034)",7,3,,3,1
"Ocupantes presentes (035)",25,8,,12,5
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",8,2,2,1,3
"Ocupantes presentes (038)",36,6,8,9,13
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",9,4,1,4,
"Ocupantes presentes (041)",32,13,3,16,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (046)",20,9,,11,
"Ocupantes presentes (047)",54,29,,25,
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (049)",2,,,1,1
"Ocupantes presentes (050)",2,,,1,1
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",78,37,21,15,5
"Ocupantes presentes (056)",248,110,74,56,8
"Casa independiente",,,,,
"Viviendas particulares (058)",78,37,21,15,5
"Ocupantes presentes (059)",248,110,74,56,8
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
