"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN MIGUEL (000)",14924,13096,764,229,835
"Sin nivel (001)",970,940,20,2,8
"Educación inicial (002)",7,6,1,,
"Primaria (003)",8114,7700,258,27,129
"Secundaria (004)",4173,3741,199,59,174
"Superior no univ. incompleta (005)",192,129,14,10,39
"Superior no univ. completa (006)",689,298,104,61,226
"Superior univ. incompleta (007)",138,86,21,8,23
"Superior univ. completa (008)",641,196,147,62,236
"De 06 a 14 años (010)",182,174,6,1,1
"Sin nivel (011)",6,6,,,
"Primaria (013)",144,138,5,,1
"Secundaria (014)",32,30,1,1,
"De 15 a 29 años (020)",4281,3844,213,65,159
"Sin nivel (021)",123,118,5,,
"Educación inicial (022)",6,6,,,
"Primaria (023)",1939,1833,73,5,28
"Secundaria (024)",1856,1682,101,28,45
"Superior no univ. incompleta (025)",67,50,2,4,11
"Superior no univ. completa (026)",153,84,11,16,42
"Superior univ. incompleta (027)",40,32,5,,3
"Superior univ. completa (028)",97,39,16,12,30
"De 30 a 44 años (030)",5051,4202,312,102,435
"Sin nivel (031)",201,195,3,1,2
"Educación inicial (032)",1,,1,,
"Primaria (033)",2371,2232,74,11,54
"Secundaria (034)",1601,1426,77,23,75
"Superior no univ. incompleta (035)",95,62,9,4,20
"Superior no univ. completa (036)",383,158,60,30,135
"Superior univ. incompleta (037)",58,34,10,4,10
"Superior univ. completa (038)",341,95,78,29,139
"De 45 a 64 años (040)",3787,3308,198,58,223
"Sin nivel (041)",327,313,8,1,5
"Primaria (043)",2441,2315,79,9,38
"Secundaria (044)",620,543,18,7,52
"Superior no univ. incompleta (045)",24,14,3,2,5
"Superior no univ. completa (046)",143,48,33,15,47
"Superior univ. incompleta (047)",38,18,6,4,10
"Superior univ. completa (048)",194,57,51,20,66
"De 65 y más años (050)",1623,1568,35,3,17
"Sin nivel (051)",313,308,4,,1
"Primaria (053)",1219,1182,27,2,8
"Secundaria (054)",64,60,2,,2
"Superior no univ. incompleta (055)",6,3,,,3
"Superior no univ. completa (056)",10,8,,,2
"Superior univ. incompleta (057)",2,2,,,
"Superior univ. completa (058)",9,5,2,1,1
,,,,,
"URBANA (060)",3099,2168,277,135,519
"Sin nivel (061)",126,121,4,1,
