"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia CHACHAPOYAS (000)",30684,29242,1442
"Hombres (001)",14832,14249,583
"Mujeres (002)",15852,14993,859
"De 18 a 29 años (003)",9798,9286,512
"Hombres (004)",4801,4515,286
"Mujeres (005)",4997,4771,226
"De 30 a 44 años (006)",10027,9848,179
"Hombres (007)",4905,4810,95
"Mujeres (008)",5122,5038,84
"De 45 a 64 años (009)",7378,7120,258
"Hombres (010)",3613,3515,98
"Mujeres (011)",3765,3605,160
"De 65 y más años (012)",3481,2988,493
"Hombres (013)",1513,1409,104
"Mujeres (014)",1968,1579,389
,,,
"URBANA (015)",21773,20990,783
"Hombres (016)",10270,9951,319
"Mujeres (017)",11503,11039,464
"De 18 a 29 años (018)",7084,6759,325
"Hombres (019)",3354,3167,187
"Mujeres (020)",3730,3592,138
"De 30 a 44 años (021)",7227,7135,92
"Hombres (022)",3460,3406,54
"Mujeres (023)",3767,3729,38
"De 45 a 64 años (024)",5143,5020,123
"Hombres (025)",2478,2436,42
"Mujeres (026)",2665,2584,81
"De 65 y más años (027)",2319,2076,243
"Hombres (028)",978,942,36
"Mujeres (029)",1341,1134,207
,,,
"RURAL (030)",8911,8252,659
"Hombres (031)",4562,4298,264
"Mujeres (032)",4349,3954,395
"De 18 a 29 años (033)",2714,2527,187
"Hombres (034)",1447,1348,99
"Mujeres (035)",1267,1179,88
"De 30 a 44 años (036)",2800,2713,87
"Hombres (037)",1445,1404,41
"Mujeres (038)",1355,1309,46
"De 45 a 64 años (039)",2235,2100,135
"Hombres (040)",1135,1079,56
"Mujeres (041)",1100,1021,79
"De 65 y más años (042)",1162,912,250
"Hombres (043)",535,467,68
"Mujeres (044)",627,445,182
