"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ANGARAES (000)",46686,13007,6181,609,26948
"Hombres (001)",22723,6297,3200,370,12895
"Mujeres (002)",23963,6710,2981,239,14053
"PEA (003)",12126,1173,2081,256,8639
"Hombres (004)",8831,732,1525,203,6389
"Mujeres (005)",3295,441,556,53,2250
"Ocupada (006)",10966,1109,2033,243,7603
"Hombres (007)",7889,685,1487,193,5541
"Mujeres (008)",3077,424,546,50,2062
"Desocupada (009)",1160,64,48,13,1036
"Hombres (010)",942,47,38,10,848
"Mujeres (011)",218,17,10,3,188
"No PEA (012)",34560,11834,4100,353,18309
"Hombres (013)",13892,5565,1675,167,6506
"Mujeres (014)",20668,6269,2425,186,11803
,,,,,
"URBANA (018)",13969,2727,3072,336,7856
"Hombres (019)",6792,1311,1569,218,3710
"Mujeres (020)",7177,1416,1503,118,4146
"PEA (021)",5012,515,1292,179,3040
"Hombres (022)",3139,268,842,140,1899
"Mujeres (023)",1873,247,450,39,1141
"Ocupada (024)",4719,508,1266,172,2786
"Hombres (025)",2970,263,822,135,1759
"Mujeres (026)",1749,245,444,37,1027
"Desocupada (027)",293,7,26,7,254
"Hombres (028)",169,5,20,5,140
"Mujeres (029)",124,2,6,2,114
"No PEA (030)",8957,2212,1780,157,4816
"Hombres (031)",3653,1043,727,78,1811
"Mujeres (032)",5304,1169,1053,79,3005
,,,,,
"RURAL (036)",32717,10280,3109,273,19092
"Hombres (037)",15931,4986,1631,152,9185
"Mujeres (038)",16786,5294,1478,121,9907
"PEA (039)",7114,658,789,77,5599
"Hombres (040)",5692,464,683,63,4490
"Mujeres (041)",1422,194,106,14,1109
"Ocupada (042)",6247,601,767,71,4817
"Hombres (043)",4919,422,665,58,3782
"Mujeres (044)",1328,179,102,13,1035
"Desocupada (045)",867,57,22,6,782
"Hombres (046)",773,42,18,5,708
"Mujeres (047)",94,15,4,1,74
"No PEA (048)",25603,9622,2320,196,13493
"Hombres (049)",10239,4522,948,89,4695
"Mujeres (050)",15364,5100,1372,107,8798
