"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUAURA (000)",155575,15110,38038,8460,94548
"Conviviente (001)",38824,3842,7351,1577,26143
"Separado(a) (002)",5826,501,1087,278,3975
"Casado(a) (003)",43424,2541,17038,3351,20805
"Viudo(a) (004)",6191,383,2319,404,3097
"Divorciado(a) (005)",792,46,257,72,427
"Soltero(a) (006)",60518,7797,9986,2778,40101
"Hombres (008)",78129,6323,19181,5006,47963
"Conviviente (009)",19138,1255,3974,1052,12910
"Separado(a) (010)",1991,80,430,140,1349
"Casado(a) (011)",21473,1037,8683,1978,9972
"Viudo(a) (012)",1788,108,702,116,867
"Divorciado(a) (013)",354,13,105,34,206
"Soltero(a) (014)",33385,3830,5287,1686,22659
"Mujeres (016)",77446,8787,18857,3454,46585
"Conviviente (017)",19686,2587,3377,525,13233
"Separado(a) (018)",3835,421,657,138,2626
"Casado(a) (019)",21951,1504,8355,1373,10833
"Viudo(a) (020)",4403,275,1617,288,2230
"Divorciado(a) (021)",438,33,152,38,221
"Soltero(a) (022)",27133,3967,4699,1092,17442
,,,,,
"URBANA (024)",135070,12964,35127,7885,79663
"Conviviente (025)",32214,3276,6503,1417,21106
"Separado(a) (026)",5236,454,1022,255,3520
"Casado(a) (027)",38268,2283,15852,3138,17301
"Viudo(a) (028)",5446,353,2158,375,2572
"Divorciado(a) (029)",745,45,248,70,392
"Soltero(a) (030)",53161,6553,9344,2630,34772
"Hombres (032)",67049,5392,17400,4610,39986
"Conviviente (033)",15772,1076,3437,932,10379
"Separado(a) (034)",1741,74,385,123,1167
"Casado(a) (035)",18798,938,7994,1844,8217
"Viudo(a) (036)",1524,100,635,104,690
"Divorciado(a) (037)",325,12,99,33,185
"Soltero(a) (038)",28889,3192,4850,1574,19348
"Mujeres (040)",68021,7572,17727,3275,39677
"Conviviente (041)",16442,2200,3066,485,10727
"Separado(a) (042)",3495,380,637,132,2353
"Casado(a) (043)",19470,1345,7858,1294,9084
"Viudo(a) (044)",3922,253,1523,271,1882
"Divorciado(a) (045)",420,33,149,37,207
"Soltero(a) (046)",24272,3361,4494,1056,15424
,,,,,
"RURAL (048)",20505,2146,2911,575,14885
"Conviviente (049)",6610,566,848,160,5037
"Separado(a) (050)",590,47,65,23,455
"Casado(a) (051)",5156,258,1186,213,3504
"Viudo(a) (052)",745,30,161,29,525
"Divorciado(a) (053)",47,1,9,2,35
"Soltero(a) (054)",7357,1244,642,148,5329
"Hombres (056)",11080,931,1781,396,7977
"Conviviente (057)",3366,179,537,120,2531
"Separado(a) (058)",250,6,45,17,182
"Casado(a) (059)",2675,99,689,134,1755
"Viudo(a) (060)",264,8,67,12,177
"Divorciado(a) (061)",29,1,6,1,21
"Soltero(a) (062)",4496,638,437,112,3311
"Mujeres (064)",9425,1215,1130,179,6908
"Conviviente (065)",3244,387,311,40,2506
"Separado(a) (066)",340,41,20,6,273
"Casado(a) (067)",2481,159,497,79,1749
"Viudo(a) (068)",481,22,94,17,348
"Divorciado(a) (069)",18,,3,1,14
"Soltero(a) (070)",2861,606,205,36,2018
