"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAÑETE (000)",82659,51309,9779,10101,11470
"Empleado (001)",19107,6273,2514,3751,6569
"Obrero (002)",28810,12741,5173,6110,4786
"Trabajador independiente (003)",27126,25542,1584,,
"Empleador o patrono (004)",1627,1153,237,149,88
"Trabajador familiar no remunerado (005)",3744,3355,271,91,27
"Trabajador del hogar (006)",2245,2245,,,
"De 06 a 14 años (008)",934,758,105,60,11
"Empleado (009)",103,87,13,2,1
"Obrero (010)",234,138,45,42,9
"Trabajador independiente (011)",177,163,14,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",384,334,33,16,1
"Trabajador del hogar (014)",35,35,,,
"De 15 a 29 años (016)",27334,15781,3863,3884,3806
"Empleado (017)",6848,2808,1072,1228,1740
"Obrero (018)",11200,4530,2079,2567,2024
"Trabajador independiente (019)",6643,6105,538,,
"Empleador o patrono (020)",340,210,58,41,31
"Trabajador familiar no remunerado (021)",1375,1200,116,48,11
"Trabajador del hogar (022)",928,928,,,
"De 30 a 44 años (024)",30018,17424,3496,4022,5076
"Empleado (025)",7776,2140,971,1656,3009
"Obrero (026)",10332,4181,1821,2306,2024
"Trabajador independiente (027)",9585,9023,562,,
"Empleador o patrono (028)",555,390,81,49,35
"Trabajador familiar no remunerado (029)",943,863,61,11,8
"Trabajador del hogar (030)",827,827,,,
"De 45 a 64 años (032)",20267,13750,2063,1997,2457
"Empleado (033)",4078,1073,429,827,1749
"Obrero (034)",6071,3186,1094,1105,686
"Trabajador independiente (035)",8371,7964,407,,
"Empleador o patrono (036)",553,403,81,51,18
"Trabajador familiar no remunerado (037)",793,723,52,14,4
"Trabajador del hogar (038)",401,401,,,
"De 65 y más años (040)",4106,3596,252,138,120
"Empleado (041)",302,165,29,38,70
"Obrero (042)",973,706,134,90,43
"Trabajador independiente (043)",2350,2287,63,,
"Empleador o patrono (044)",178,149,17,8,4
"Trabajador familiar no remunerado (045)",249,235,9,2,3
"Trabajador del hogar (046)",54,54,,,
,,,,,
"URBANA (048)",68954,42172,8070,8662,10050
"Empleado (049)",17229,5637,2265,3359,5968
"Obrero (050)",21976,8882,3999,5104,3991
"Trabajador independiente (051)",23623,22225,1398,,
