"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia TARATA (000)",3074,2971,697,471,464,347,491,278,223,103
"Católica (001)",2444,2354,540,385,352,285,405,216,171,90
"Cristiana/Evangélica (002)",285,279,65,31,47,34,43,29,30,6
"Otra (003)",269,262,74,41,51,18,36,23,19,7
"Ninguna (004)",76,76,18,14,14,10,7,10,3,
,,,,,,,,,,
"URBANA (006)",2414,2324,535,373,381,284,390,211,150,90
"Católica (007)",1932,1851,415,305,288,239,324,164,116,81
"Cristiana/Evangélica (008)",187,184,41,22,39,20,29,17,16,3
"Otra (009)",231,225,63,37,42,16,30,22,15,6
"Ninguna (010)",64,64,16,9,12,9,7,8,3,
,,,,,,,,,,
"RURAL (012)",660,647,162,98,83,63,101,67,73,13
"Católica (013)",512,503,125,80,64,46,81,52,55,9
"Cristiana/Evangélica (014)",98,95,24,9,8,14,14,12,14,3
"Otra (015)",38,37,11,4,9,2,6,1,4,1
"Ninguna (016)",12,12,2,5,2,1,,2,,
