"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia URUBAMBA (000)",101,99,2
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",71,71,
"Casa pensión (003)",2,2,
"Hospital, clinica (004)",6,6,
"Aldea infantil, orfelinato, etc (007)",4,4,
"Otro (008)",13,11,2
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",5,5,
