"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia AREQUIPA (000)",244803,1612,56982,80448,43871,17950,7226,1843,285,,34586
"Catolica (001)",215903,1396,49576,70813,39265,16177,6505,1661,254,,30256
"Cristiana / Evangelica (002)",16450,129,4361,5560,2616,973,403,97,19,,2292
"Otra (003)",8994,62,2252,3004,1457,593,232,69,10,,1315
"Ninguna (004)",3456,25,793,1071,533,207,86,16,2,,723
,,,,,,,,,,,
"URBANA (006)",239298,1536,55055,78544,43221,17727,7095,1803,279,,34038
"Catolica (007)",211051,1330,47916,69118,38675,15971,6386,1627,249,,29779
"Cristiana / Evangelica (008)",15976,120,4158,5407,2576,961,396,91,18,,2249
"Otra (009)",8889,61,2217,2969,1446,590,228,69,10,,1299
"Ninguna (010)",3382,25,764,1050,524,205,85,16,2,,711
,,,,,,,,,,,
"RURAL (012)",5505,76,1927,1904,650,223,131,40,6,,548
"Catolica (013)",4852,66,1660,1695,590,206,119,34,5,,477
"Cristiana / Evangelica (014)",474,9,203,153,40,12,7,6,1,,43
"Otra (015)",105,1,35,35,11,3,4,,,,16
"Ninguna (016)",74,,29,21,9,2,1,,,,12
