"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",6115,120,8,2126,2465,300,563,186,347
"Empleado (001)",1454,17,2,196,436,125,348,102,228
"Obrero (002)",1595,27,3,615,819,41,56,22,12
"Trabajador independiente (003)",2434,64,2,1034,947,110,140,52,85
"Empleador o patrono (004)",174,5,,71,67,4,5,5,17
"Trabajador familiar no remunerado (005)",343,5,1,163,142,14,9,5,4
"Trabajador del hogar (006)",115,2,,47,54,6,5,,1
"Hombres (008)",4648,84,7,1669,2015,195,322,131,225
"Empleado (009)",862,12,2,118,304,69,164,64,129
"Obrero (010)",1441,22,2,541,757,37,50,20,12
"Trabajador independiente (011)",1912,41,2,809,775,77,99,39,70
"Empleador o patrono (012)",149,4,,64,56,4,4,5,12
"Trabajador familiar no remunerado (013)",276,4,1,136,117,8,5,3,2
"Trabajador del hogar (014)",8,1,,1,6,,,,
"Mujeres (016)",1467,36,1,457,450,105,241,55,122
"Empleado (017)",592,5,,78,132,56,184,38,99
"Obrero (018)",154,5,1,74,62,4,6,2,
"Trabajador independiente (019)",522,23,,225,172,33,41,13,15
"Empleador o patrono (020)",25,1,,7,11,,1,,5
"Trabajador familiar no remunerado (021)",67,1,,27,25,6,4,2,2
"Trabajador del hogar (022)",107,1,,46,48,6,5,,1
,,,,,,,,,
"URBANA (024)",4857,82,8,1558,1995,265,476,160,313
"Empleado (025)",1226,15,2,157,362,108,286,92,204
"Obrero (026)",1216,19,3,450,628,40,46,19,11
"Trabajador independiente (027)",1939,43,2,749,800,98,128,41,78
"Empleador o patrono (028)",125,3,,44,51,4,4,3,16
"Trabajador familiar no remunerado (029)",259,1,1,126,106,9,8,5,3
"Trabajador del hogar (030)",92,1,,32,48,6,4,,1
"Hombres (032)",3586,51,7,1178,1588,175,272,112,203
"Empleado (033)",718,10,2,86,248,61,135,60,116
"Obrero (034)",1069,14,2,379,568,36,42,17,11
"Trabajador independiente (035)",1484,24,2,565,644,69,88,29,63
"Empleador o patrono (036)",102,2,,39,40,4,3,3,11
"Trabajador familiar no remunerado (037)",208,1,1,109,83,5,4,3,2
"Trabajador del hogar (038)",5,,,,5,,,,
"Mujeres (040)",1271,31,1,380,407,90,204,48,110
"Empleado (041)",508,5,,71,114,47,151,32,88
"Obrero (042)",147,5,1,71,60,4,4,2,
"Trabajador independiente (043)",455,19,,184,156,29,40,12,15
"Empleador o patrono (044)",23,1,,5,11,,1,,5
"Trabajador familiar no remunerado (045)",51,,,17,23,4,4,2,1
"Trabajador del hogar (046)",87,1,,32,43,6,4,,1
,,,,,,,,,
"RURAL (048)",1258,38,,568,470,35,87,26,34
"Empleado (049)",228,2,,39,74,17,62,10,24
"Obrero (050)",379,8,,165,191,1,10,3,1
"Trabajador independiente (051)",495,21,,285,147,12,12,11,7
"Empleador o patrono (052)",49,2,,27,16,,1,2,1
"Trabajador familiar no remunerado (053)",84,4,,37,36,5,1,,1
"Trabajador del hogar (054)",23,1,,15,6,,1,,
"Hombres (056)",1062,33,,491,427,20,50,19,22
"Empleado (057)",144,2,,32,56,8,29,4,13
"Obrero (058)",372,8,,162,189,1,8,3,1
"Trabajador independiente (059)",428,17,,244,131,8,11,10,7
"Empleador o patrono (060)",47,2,,25,16,,1,2,1
"Trabajador familiar no remunerado (061)",68,3,,27,34,3,1,,
"Trabajador del hogar (062)",3,1,,1,1,,,,
"Mujeres (064)",196,5,,77,43,15,37,7,12
"Empleado (065)",84,,,7,18,9,33,6,11
"Obrero (066)",7,,,3,2,,2,,
"Trabajador independiente (067)",67,4,,41,16,4,1,1,
"Empleador o patrono (068)",2,,,2,,,,,
"Trabajador familiar no remunerado (069)",16,1,,10,2,2,,,1
"Trabajador del hogar (070)",20,,,14,5,,1,,
