"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CUSCO (000)",88337,82624,5713
"Red pública dentro de la vivienda (001)",58506,56937,1569
"Red pública fuera de la vivienda (002)",20274,19239,1035
"Pilón de uso público (003)",2409,1728,681
"Camión - cisterna u otro similar (004)",150,102,48
"Pozo (005)",542,334,208
"Río, acequia, manatial o similar (006)",4619,3222,1397
"Vecino (007)",1293,704,589
"Otro (008)",544,358,186
,,,
"URBANA (010)",84469,80314,4155
"Red pública dentro de la vivienda (011)",57863,56445,1418
"Red pública fuera de la vivienda (012)",19574,18660,914
"Pilón de uso público (013)",2038,1553,485
"Camión - cisterna u otro similar (014)",143,98,45
"Pozo (015)",342,254,88
"Río, acequia, manatial o similar (016)",2863,2305,558
"Vecino (017)",1132,655,477
"Otro (018)",514,344,170
,,,
"RURAL (020)",3868,2310,1558
"Red pública dentro de la vivienda (021)",643,492,151
"Red pública fuera de la vivienda (022)",700,579,121
"Pilón de uso público (023)",371,175,196
"Camión - cisterna u otro similar (024)",7,4,3
"Pozo (025)",200,80,120
"Río, acequia, manatial o similar (026)",1756,917,839
"Vecino (027)",161,49,112
"Otro (028)",30,14,16
