"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CASTROVIRREYNA (000)",17333,2539,498,7315,5299,442,632,156,452
"Jefe o Jefa (001)",6049,750,1,2428,1935,239,355,80,261
"Esposa(o)/ compa¤era(o) (002)",2563,404,4,1204,712,55,120,10,54
"Hijo(a)/ hijastro(a) (003)",6824,1035,427,2979,2035,113,103,54,78
"Yerno/ nuera (004)",111,,,23,65,8,9,,6
"Nieto(a) (005)",610,135,50,270,142,5,3,4,1
"Padres/ suegros (006)",141,79,,58,4,,,,
"Otro(a) pariente (007)",820,117,14,292,315,19,28,8,27
"Trabajador(a) del hogar (008)",20,,,7,12,,,,1
"Pensionista (009)",3,,,,1,1,,,1
"Otro(a) no pariente (010)",192,19,2,54,78,2,14,,23
"Hombres (012)",8720,834,269,3529,3072,283,353,104,276
"Jefe o Jefa (013)",3987,166,,1609,1504,191,257,63,197
"Esposa(o)/ compa¤era(o) (014)",195,5,,75,81,7,16,3,8
"Hijo(a)/ hijastro(a) (015)",3501,521,227,1466,1113,58,52,28,36
"Yerno/ nuera (016)",60,,,10,35,7,4,,4
"Nieto(a) (017)",352,80,33,149,84,3,,3,
"Padres/ suegros (018)",33,6,,26,1,,,,
"Otro(a) pariente (019)",469,49,9,162,192,16,17,7,17
"Trabajador(a) del hogar (020)",9,,,4,4,,,,1
"Pensionista (021)",3,,,,1,1,,,1
"Otro(a) no pariente (022)",111,7,,28,57,,7,,12
"Mujeres (024)",8613,1705,229,3786,2227,159,279,52,176
"Jefe o Jefa (025)",2062,584,1,819,431,48,98,17,64
"Esposa(o)/ compa¤era(o) (026)",2368,399,4,1129,631,48,104,7,46
"Hijo(a)/ hijastro(a) (027)",3323,514,200,1513,922,55,51,26,42
"Yerno/ nuera (028)",51,,,13,30,1,5,,2
"Nieto(a) (029)",258,55,17,121,58,2,3,1,1
"Padres/ suegros (030)",108,73,,32,3,,,,
"Otro(a) pariente (031)",351,68,5,130,123,3,11,1,10
"Trabajador(a) del hogar (032)",11,,,3,8,,,,
"Otro(a) no pariente (034)",81,12,2,26,21,2,7,,11
,,,,,,,,,
"URBANA (036)",5253,483,134,1683,1865,242,415,95,336
"Jefe o Jefa (037)",1941,122,,549,686,129,223,44,188
"Esposa(o)/ compa¤era(o) (038)",683,37,,225,238,36,96,8,43
"Hijo(a)/ hijastro(a) (039)",1803,222,109,657,616,54,58,34,53
"Yerno/ nuera (040)",48,,,3,26,7,8,,4
"Nieto(a) (041)",225,41,19,89,68,3,1,3,1
"Padres/ suegros (042)",48,22,,24,2,,,,
"Otro(a) pariente (043)",399,32,5,116,183,11,20,6,26
"Trabajador(a) del hogar (044)",13,,,5,7,,,,1
"Otro(a) no pariente (046)",93,7,1,15,39,2,9,,20
"Hombres (048)",2684,169,71,785,1044,145,208,65,197
"Jefe o Jefa (049)",1256,17,,318,495,101,151,36,138
"Esposa(o)/ compa¤era(o) (050)",68,1,,20,24,4,11,2,6
