"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia PAUCARTAMBO",,,,,,,,,
"Viviendas particulares (001)",5544,259,297,212,306,60,35,57,4318
"Ocupantes presentes (002)",22768,997,1121,819,1257,215,166,258,17935
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",5140,224,232,179,249,43,34,55,4124
"Ocupantes presentes (005)",21327,877,930,704,1050,161,165,254,17186
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",2,,1,,,1,,,
"Ocupantes presentes (008)",3,,1,,,2,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",19,,11,,,1,,1,6
"Ocupantes presentes (011)",47,,28,,,1,,3,15
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",271,35,51,28,38,15,1,,103
"Ocupantes presentes (014)",904,120,153,90,121,51,1,,368
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",103,,2,2,18,,,1,80
"Ocupantes presentes (017)",451,,9,15,84,,,1,342
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1,,,1,,,,,
"Ocupantes presentes (020)",1,,,1,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",8,,,2,1,,,,5
"Ocupantes presentes (023)",35,,,9,2,,,,24
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1629,173,230,144,189,43,30,25,795
"Ocupantes presentes (029)",6185,639,794,551,721,158,143,114,3065
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1333,138,167,115,150,26,29,24,684
"Ocupantes presentes (032)",5214,519,612,460,598,104,142,111,2668
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",2,,1,,,1,,,
"Ocupantes presentes (035)",3,,1,,,2,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",19,,11,,,1,,1,6
"Ocupantes presentes (038)",47,,28,,,1,,3,15
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",271,35,51,28,38,15,1,,103
"Ocupantes presentes (041)",904,120,153,90,121,51,1,,368
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1,,,1,,,,,
"Ocupantes presentes (047)",1,,,1,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",3,,,,1,,,,2
"Ocupantes presentes (050)",16,,,,2,,,,14
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",3915,86,67,68,117,17,5,32,3523
"Ocupantes presentes (056)",16583,358,327,268,536,57,23,144,14870
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",3807,86,65,64,99,17,5,31,3440
"Ocupantes presentes (059)",16113,358,318,244,452,57,23,143,14518
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",103,,2,2,18,,,1,80
"Ocupantes presentes (071)",451,,9,15,84,,,1,342
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",5,,,2,,,,,3
"Ocupantes presentes (077)",19,,,9,,,,,10
"Otro tipo",,,,,,,,,
