"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia VIRU (000)",19197,341,8008,5502,1554,575,238,88,19,,2872
"Catolica (001)",12823,228,5220,3648,1072,416,163,56,11,,2009
"Cristiana / Evangelica (002)",4915,93,2131,1427,374,130,63,29,7,,661
"Otra (003)",489,5,188,166,50,14,8,1,,,57
"Ninguna (004)",970,15,469,261,58,15,4,2,1,,145
,,,,,,,,,,,
"URBANA (006)",14799,237,5992,4220,1247,469,199,70,18,,2347
"Catolica (007)",9771,154,3856,2755,857,344,136,46,10,,1613
"Cristiana / Evangelica (008)",3814,65,1589,1124,291,99,57,23,7,,559
"Otra (009)",381,5,146,126,43,12,3,,,,46
"Ninguna (010)",833,13,401,215,56,14,3,1,1,,129
,,,,,,,,,,,
"RURAL (012)",4398,104,2016,1282,307,106,39,18,1,,525
"Catolica (013)",3052,74,1364,893,215,72,27,10,1,,396
"Cristiana / Evangelica (014)",1101,28,542,303,83,31,6,6,,,102
"Otra (015)",108,,42,40,7,2,5,1,,,11
"Ninguna (016)",137,2,68,46,2,1,1,1,,,16
