"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia ANTABAMBA (000)",4135,502,1194,1303,14,999,22,101
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",24,24,,,,,,
"Profes., científicos e intelectuales (002)",323,295,,28,,,,
"Técnicos de nivel medio y trab. asimilados (003)",62,47,,13,,2,,
"Jefes y empleados de oficina (004)",74,74,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",243,7,8,182,1,45,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",877,,,869,8,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",220,,98,108,4,10,,
"Obreros construc.,conf.,papel, fab., instr. (008)",110,10,73,25,,2,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",1984,22,996,33,,911,22,
"Otra (010)",8,8,,,,,,
"Ocupación no especificada (011)",109,15,19,45,1,29,,
"Desocupado (012)",101,,,,,,,101
"Hombres (013)",2711,331,852,905,13,520,2,88
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",21,21,,,,,,
"Profes., científicos e intelectuales (015)",189,176,,13,,,,
"Técnicos de nivel medio y trab. asimilados (016)",47,35,,10,,2,,
"Jefes y empleados de oficina (017)",52,52,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",78,6,4,57,1,10,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",687,,,679,8,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",190,,90,94,4,2,,
"Obreros construc.,conf.,papel, fab., instr. (021)",103,10,69,22,,2,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",1205,15,676,17,,495,2,
"Otra (023)",8,8,,,,,,
"Ocupación no especificada (024)",43,8,13,13,,9,,
"Desocupado (025)",88,,,,,,,88
"Mujeres (026)",1424,171,342,398,1,479,20,13
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",3,3,,,,,,
"Profes., científicos e intelectuales (028)",134,119,,15,,,,
"Técnicos de nivel medio y trab. asimilados (029)",15,12,,3,,,,
"Jefes y empleados de oficina (030)",22,22,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",165,1,4,125,,35,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",190,,,190,,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",30,,8,14,,8,,
"Obreros construc.,conf.,papel, fab., instr. (034)",7,,4,3,,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",779,7,320,16,,416,20,
"Ocupación no especificada (037)",66,7,6,32,1,20,,
"Desocupado (038)",13,,,,,,,13
,,,,,,,,
"URBANA (039)",2672,450,896,723,8,497,19,79
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",23,23,,,,,,
"Profes., científicos e intelectuales (041)",290,265,,25,,,,
"Técnicos de nivel medio y trab. asimilados (042)",56,41,,13,,2,,
"Jefes y empleados de oficina (043)",67,67,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",207,6,6,157,,38,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",357,,,352,5,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",132,,33,92,2,5,,
"Obreros construc.,conf.,papel, fab., instr. (047)",96,9,64,22,,1,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",1274,22,780,25,,428,19,
"Otra (049)",8,8,,,,,,
"Ocupación no especificada (050)",83,9,13,37,1,23,,
"Desocupado (051)",79,,,,,,,79
"Hombres (052)",1683,289,597,467,7,254,2,67
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",20,20,,,,,,
"Profes., científicos e intelectuales (054)",167,154,,13,,,,
"Técnicos de nivel medio y trab. asimilados (055)",41,29,,10,,2,,
"Jefes y empleados de oficina (056)",45,45,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",63,5,2,46,,10,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",277,,,272,5,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",116,,29,83,2,2,,
"Obreros construc.,conf.,papel, fab., instr. (060)",89,9,60,19,,1,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",760,15,498,13,,232,2,
"Otra (062)",8,8,,,,,,
"Ocupación no especificada (063)",30,4,8,11,,7,,
"Desocupado (064)",67,,,,,,,67
"Mujeres (065)",989,161,299,256,1,243,17,12
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",3,3,,,,,,
"Profes., científicos e intelectuales (067)",123,111,,12,,,,
"Técnicos de nivel medio y trab. asimilados (068)",15,12,,3,,,,
"Jefes y empleados de oficina (069)",22,22,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",144,1,4,111,,28,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",80,,,80,,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",16,,4,9,,3,,
"Obreros construc.,conf.,papel, fab., instr. (073)",7,,4,3,,,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",514,7,282,12,,196,17,
"Ocupación no especificada (076)",53,5,5,26,1,16,,
"Desocupado (077)",12,,,,,,,12
,,,,,,,,
"RURAL (078)",1463,52,298,580,6,502,3,22
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",1,1,,,,,,
"Profes., científicos e intelectuales (080)",33,30,,3,,,,
"Técnicos de nivel medio y trab. asimilados (081)",6,6,,,,,,
"Jefes y empleados de oficina (082)",7,7,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",36,1,2,25,1,7,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",520,,,517,3,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",88,,65,16,2,5,,
"Obreros construc.,conf.,papel, fab., instr. (086)",14,1,9,3,,1,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",710,,216,8,,483,3,
"Ocupación no especificada (089)",26,6,6,8,,6,,
"Desocupado (090)",22,,,,,,,22
"Hombres (091)",1028,42,255,438,6,266,,21
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",1,1,,,,,,
"Profes., científicos e intelectuales (093)",22,22,,,,,,
"Técnicos de nivel medio y trab. asimilados (094)",6,6,,,,,,
"Jefes y empleados de oficina (095)",7,7,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",15,1,2,11,1,,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",410,,,407,3,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",74,,61,11,2,,,
"Obreros construc.,conf.,papel, fab., instr. (099)",14,1,9,3,,1,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (100)",445,,178,4,,263,,
"Ocupación no especificada (102)",13,4,5,2,,2,,
"Desocupado (103)",21,,,,,,,21
