"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia BARRANCA (000)",39073,473,13106,11840,4736,1869,863,239,30,,5917
"Sin Nivel (001)",4171,123,1772,1144,337,157,117,45,8,,468
"Educación Inicial (002)",39,1,9,16,3,1,,,,,9
"Primaria (003)",11725,220,5198,3375,1040,475,282,101,12,,1022
"Secundaria (004)",14395,102,5098,4730,1595,523,194,50,3,,2100
"Sup. no Univ. Incompleta (005)",1457,8,271,567,235,60,15,2,,,299
"Sup. no Univ. Completa (006)",2609,6,273,811,583,215,78,12,2,,629
"Sup. Univ. Incompleta (007)",1559,6,243,474,222,84,29,3,,,498
"Sup. Univ. Completa (008)",3118,7,242,723,721,354,148,26,5,,892
,,,,,,,,,,,
"URBANA (010)",33856,375,10896,10175,4295,1696,800,216,28,,5375
"Sin Nivel (011)",2861,89,1181,738,237,113,93,38,6,,366
"Educación Inicial (012)",29,1,6,9,3,1,,,,,9
"Primaria (013)",9989,180,4361,2865,922,416,260,94,12,,879
"Secundaria (014)",12695,83,4416,4148,1442,478,186,45,3,,1894
"Sup. no Univ. Incompleta (015)",1343,7,248,514,222,57,13,2,,,280
"Sup. no Univ. Completa (016)",2474,5,250,768,561,207,74,11,2,,596
"Sup. Univ. Incompleta (017)",1474,5,220,445,211,81,29,2,,,481
"Sup. Univ. Completa (018)",2991,5,214,688,697,343,145,24,5,,870
,,,,,,,,,,,
"RURAL (020)",5217,98,2210,1665,441,173,63,23,2,,542
"Sin Nivel (021)",1310,34,591,406,100,44,24,7,2,,102
"Educación Inicial (022)",10,,3,7,,,,,,,
"Primaria (023)",1736,40,837,510,118,59,22,7,,,143
"Secundaria (024)",1700,19,682,582,153,45,8,5,,,206
"Sup. no Univ. Incompleta (025)",114,1,23,53,13,3,2,,,,19
"Sup. no Univ. Completa (026)",135,1,23,43,22,8,4,1,,,33
"Sup. Univ. Incompleta (027)",85,1,23,29,11,3,,1,,,17
"Sup. Univ. Completa (028)",127,2,28,35,24,11,3,2,,,22
