"CUADRO Nº 15: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE SERVICIO HIGIÉNICO EN LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"SERVICIO HIGIÉNICO CONECTADO A:",,,,,
,,"RED PÚBLICA DE DESAGÜE (DENTRO DE LA VIVIENDA)","RED PÚBLICA DE DESAGÜE (FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN)","POZO SÉPTICO","POZO CIEGO O NEGRO / LETRINA","RÍO, ACEQUIA O CANAL","NO TIENE"
,,,,,,,
"Provincia CONCEPCION",,,,,,,
"Viviendas particulares (001)",14130,2902,291,1417,5410,184,3926
"Ocupantes presentes (002)",59074,13071,1300,6152,23083,719,14749
"Casa independiente",,,,,,,
"Viviendas particulares (004)",13827,2831,265,1412,5378,175,3766
"Ocupantes presentes (005)",57551,12651,1151,6127,22934,688,14000
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",8,8,,,,,
"Ocupantes presentes (008)",26,26,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",58,34,20,,,,4
"Ocupantes presentes (011)",398,252,131,,,,15
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",49,26,6,,,,17
"Ocupantes presentes (014)",220,126,18,,,,76
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",177,,,4,30,9,134
"Ocupantes presentes (017)",822,,,21,143,31,627
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",4,1,,1,,,2
"Ocupantes presentes (020)",14,4,,4,,,6
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",7,2,,,2,,3
"Ocupantes presentes (023)",43,12,,,6,,25
"Otro tipo",,,,,,,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",7170,2804,256,834,1695,58,1523
"Ocupantes presentes (029)",30262,12737,1135,3622,7175,205,5388
"Casa independiente",,,,,,,
"Viviendas particulares (031)",7045,2733,230,833,1694,58,1497
"Ocupantes presentes (032)",29562,12317,986,3618,7170,205,5266
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",8,8,,,,,
"Ocupantes presentes (035)",26,26,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",58,34,20,,,,4
"Ocupantes presentes (038)",398,252,131,,,,15
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",49,26,6,,,,17
"Ocupantes presentes (041)",220,126,18,,,,76
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",4,1,,1,,,2
"Ocupantes presentes (047)",14,4,,4,,,6
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",6,2,,,1,,3
"Ocupantes presentes (050)",42,12,,,5,,25
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",6960,98,35,583,3715,126,2403
"Ocupantes presentes (056)",28812,334,165,2530,15908,514,9361
"Casa independiente",,,,,,,
"Viviendas particulares (058)",6782,98,35,579,3684,117,2269
"Ocupantes presentes (059)",27989,334,165,2509,15764,483,8734
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",177,,,4,30,9,134
"Ocupantes presentes (071)",822,,,21,143,31,627
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",1,,,,1,,
"Ocupantes presentes (077)",1,,,,1,,
"Otro tipo",,,,,,,
