"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TARATA (000)",4048,87,1011,1224,1153,573
"Empleado (001)",538,1,179,244,107,7
"Obrero (002)",585,10,239,206,106,24
"Trabajador independiente (003)",1982,1,300,548,720,413
"Empleador o patrono (004)",40,,11,12,9,8
"Trabajador familiar no remunerado (005)",877,73,271,208,206,119
"Trabajador del hogar (006)",26,2,11,6,5,2
"Hombres (008)",2332,57,577,722,659,317
"Empleado (009)",311,,72,152,81,6
"Obrero (010)",439,8,190,143,80,18
"Trabajador independiente (011)",1231,1,172,345,444,269
"Empleador o patrono (012)",31,,9,10,5,7
"Trabajador familiar no remunerado (013)",317,47,132,72,49,17
"Trabajador del hogar (014)",3,1,2,,,
"Mujeres (016)",1716,30,434,502,494,256
"Empleado (017)",227,1,107,92,26,1
"Obrero (018)",146,2,49,63,26,6
"Trabajador independiente (019)",751,,128,203,276,144
"Empleador o patrono (020)",9,,2,2,4,1
"Trabajador familiar no remunerado (021)",560,26,139,136,157,102
"Trabajador del hogar (022)",23,1,9,6,5,2
,,,,,,
"URBANA (024)",3041,70,759,926,866,420
"Empleado (025)",446,1,147,193,98,7
"Obrero (026)",482,9,199,167,88,19
"Trabajador independiente (027)",1459,1,215,412,536,295
"Empleador o patrono (028)",39,,11,11,9,8
"Trabajador familiar no remunerado (029)",591,57,177,137,131,89
"Trabajador del hogar (030)",24,2,10,6,4,2
"Hombres (032)",1736,46,434,536,490,230
"Empleado (033)",257,,58,120,73,6
"Obrero (034)",348,7,153,111,64,13
"Trabajador independiente (035)",888,1,119,255,321,192
"Empleador o patrono (036)",30,,9,9,5,7
"Trabajador familiar no remunerado (037)",210,37,93,41,27,12
"Trabajador del hogar (038)",3,1,2,,,
"Mujeres (040)",1305,24,325,390,376,190
"Empleado (041)",189,1,89,73,25,1
"Obrero (042)",134,2,46,56,24,6
"Trabajador independiente (043)",571,,96,157,215,103
"Empleador o patrono (044)",9,,2,2,4,1
"Trabajador familiar no remunerado (045)",381,20,84,96,104,77
"Trabajador del hogar (046)",21,1,8,6,4,2
,,,,,,
"RURAL (048)",1007,17,252,298,287,153
"Empleado (049)",92,,32,51,9,
"Obrero (050)",103,1,40,39,18,5
"Trabajador independiente (051)",523,,85,136,184,118
"Empleador o patrono (052)",1,,,1,,
"Trabajador familiar no remunerado (053)",286,16,94,71,75,30
"Trabajador del hogar (054)",2,,1,,1,
"Hombres (056)",596,11,143,186,169,87
"Empleado (057)",54,,14,32,8,
"Obrero (058)",91,1,37,32,16,5
"Trabajador independiente (059)",343,,53,90,123,77
"Empleador o patrono (060)",1,,,1,,
"Trabajador familiar no remunerado (061)",107,10,39,31,22,5
"Mujeres (064)",411,6,109,112,118,66
"Empleado (065)",38,,18,19,1,
"Obrero (066)",12,,3,7,2,
"Trabajador independiente (067)",180,,32,46,61,41
"Trabajador familiar no remunerado (069)",179,6,55,40,53,25
"Trabajador del hogar (070)",2,,1,,1,
