"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CHEPEN (000)",32047,4304,8835,8417,10491
"Asiste actualmente (001)",21761,2671,8525,7305,3260
"No asiste (002)",10286,1633,310,1112,7231
"Hombres (004)",16318,2230,4457,4305,5326
"Asiste actualmente (005)",10970,1346,4284,3709,1631
"No asiste (006)",5348,884,173,596,3695
"Mujeres (008)",15729,2074,4378,4112,5165
"Asiste actualmente (009)",10791,1325,4241,3596,1629
"No asiste (010)",4938,749,137,516,3536
,,,,,
"URBANA (012)",25839,3416,7066,6874,8483
"Asiste actualmente (013)",17939,2229,6824,6045,2841
"No asiste (014)",7900,1187,242,829,5642
"Hombres (016)",13038,1766,3542,3475,4255
"Asiste actualmente (017)",8974,1114,3410,3034,1416
"No asiste (018)",4064,652,132,441,2839
"Mujeres (020)",12801,1650,3524,3399,4228
"Asiste actualmente (021)",8965,1115,3414,3011,1425
"No asiste (022)",3836,535,110,388,2803
,,,,,
"RURAL (024)",6208,888,1769,1543,2008
"Asiste actualmente (025)",3822,442,1701,1260,419
"No asiste (026)",2386,446,68,283,1589
"Hombres (028)",3280,464,915,830,1071
"Asiste actualmente (029)",1996,232,874,675,215
"No asiste (030)",1284,232,41,155,856
"Mujeres (032)",2928,424,854,713,937
"Asiste actualmente (033)",1826,210,827,585,204
"No asiste (034)",1102,214,27,128,733
