"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LA CONVENCION (000)",144394,65615,8826,3068,67173
"Hombres (001)",76739,32353,4872,2073,37639
"Mujeres (002)",67655,33262,3954,995,29534
"PEA (003)",65302,20500,5167,1585,38188
"Hombres (004)",48169,15288,3387,1237,28372
"Mujeres (005)",17133,5212,1780,348,9816
"Ocupada (006)",63455,20092,5057,1545,36898
"Hombres (007)",46938,15022,3325,1206,27499
"Mujeres (008)",16517,5070,1732,339,9399
"Desocupada (009)",1847,408,110,40,1290
"Hombres (010)",1231,266,62,31,873
"Mujeres (011)",616,142,48,9,417
"No PEA (012)",79092,45115,3659,1483,28985
"Hombres (013)",28570,17065,1485,836,9267
"Mujeres (014)",50522,28050,2174,647,19718
,,,,,
"URBANA (018)",44254,10522,5615,1897,26358
"Hombres (019)",22210,4933,2813,1313,13248
"Mujeres (020)",22044,5589,2802,584,13110
"PEA (021)",20770,2550,3059,1053,14182
"Hombres (022)",12873,1457,1753,810,8911
"Mujeres (023)",7897,1093,1306,243,5271
"Ocupada (024)",19578,2404,2961,1017,13269
"Hombres (025)",12127,1385,1698,782,8319
"Mujeres (026)",7451,1019,1263,235,4950
"Desocupada (027)",1192,146,98,36,913
"Hombres (028)",746,72,55,28,592
"Mujeres (029)",446,74,43,8,321
"No PEA (030)",23484,7972,2556,844,12176
"Hombres (031)",9337,3476,1060,503,4337
"Mujeres (032)",14147,4496,1496,341,7839
,,,,,
"RURAL (036)",100140,55093,3211,1171,40815
"Hombres (037)",54529,27420,2059,760,24391
"Mujeres (038)",45611,27673,1152,411,16424
"PEA (039)",44532,17950,2108,532,24006
"Hombres (040)",35296,13831,1634,427,19461
"Mujeres (041)",9236,4119,474,105,4545
"Ocupada (042)",43877,17688,2096,528,23629
"Hombres (043)",34811,13637,1627,424,19180
"Mujeres (044)",9066,4051,469,104,4449
"Desocupada (045)",655,262,12,4,377
"Hombres (046)",485,194,7,3,281
"Mujeres (047)",170,68,5,1,96
"No PEA (048)",55608,37143,1103,639,16809
"Hombres (049)",19233,13589,425,333,4930
"Mujeres (050)",36375,23554,678,306,11879
