"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ABANCAY (000)",95842,1710,31832,25828,17666,12811,5995
"Casa independiente (001)",85963,1491,28884,22427,15722,11857,5582
"Departamento en edificio (002)",929,17,249,238,276,120,29
"Vivienda en quinta (003)",417,9,117,127,98,44,22
"Vivienda en casa de vecindad (004)",7522,180,2277,2830,1413,596,226
"Choza o cabaña (005)",869,11,276,157,126,172,127
"Vivienda improvisada (006)",31,,10,5,8,6,2
"Local no destinado para hab.humana (007)",93,2,17,34,21,15,4
"Otro tipo (008)",18,,2,10,2,1,3
,,,,,,,
"URBANA (009)",60601,1051,19061,18446,11689,7443,2911
"Casa independiente (010)",51599,843,16389,15205,9872,6664,2626
"Departamento en edificio (011)",929,17,249,238,276,120,29
"Vivienda en quinta (012)",417,9,117,127,98,44,22
"Vivienda en casa de vecindad (013)",7522,180,2277,2830,1413,596,226
"Vivienda improvisada (015)",31,,10,5,8,6,2
"Local no destinado para hab.humana (016)",86,2,17,31,20,12,4
"Otro tipo (017)",17,,2,10,2,1,2
,,,,,,,
"RURAL (018)",35241,659,12771,7382,5977,5368,3084
"Casa independiente (019)",34364,648,12495,7222,5850,5193,2956
"Choza o cabaña (023)",869,11,276,157,126,172,127
"Local no destinado para hab.humana (025)",7,,,3,1,3,
"Otro tipo (026)",1,,,,,,1
