"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MAYNAS (000)",177995,170636,53542,25618,24090,19021,23258,12393,6972,5742,7359,437370
"De 12 a 14 años (001)",18022,17838,17686,139,13,,,,,,184,165
"De 15 a 19 años (002)",28542,27749,22257,4479,864,126,23,,,,793,6677
"De 20 a 24 años (003)",24357,21798,7524,7760,4511,1522,433,48,,,2559,23459
"De 25 a 29 años (004)",20213,18376,2594,5212,5180,3139,2017,204,30,,1837,35160
"De 30 a 34 años (005)",16940,16223,1151,2871,4153,3477,3450,914,171,36,717,44208
"De 35 a 39 años (006)",15021,14682,635,1607,3105,2992,3959,1664,568,152,339,51239
"De 40 a 44 años (007)",13435,13210,486,1091,2075,2636,3776,1964,824,358,225,53233
"De 45 a 49 años (008)",10946,10786,313,775,1505,1798,2897,1884,1003,611,160,49451
"De 50 y más años (009)",30519,29974,896,1684,2684,3331,6703,5715,4376,4585,545,173778
"Sin nivel (010)",6289,6064,574,256,311,363,1002,1014,1071,1473,225,39382
"De 12 a 14 años (011)",137,135,130,2,3,,,,,,2,8
"De 15 a 19 años (012)",216,208,155,36,14,3,,,,,8,73
"De 20 a 24 años (013)",241,212,66,43,47,32,18,6,,,29,351
"De 25 a 29 años (014)",217,195,22,22,29,39,64,16,3,,22,602
"De 30 a 34 años (015)",288,269,29,21,26,38,86,44,19,6,19,1079
"De 35 a 39 años (016)",362,350,19,13,30,33,93,86,53,23,12,1851
"De 40 a 44 años (017)",428,402,20,11,23,32,97,94,65,60,26,2413
"De 45 a 49 años (018)",427,414,22,10,5,33,77,78,84,105,13,2880
"De 50 y más años (019)",3973,3879,111,98,134,153,567,690,847,1279,94,30125
"Educacion Inicial (020)",196,186,98,25,16,17,22,7,1,,10,254
