"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia DOS DE MAYO (000)",10909,143,5261,3353,845,228,117,47,7,,908
"Catolica (001)",8552,106,4113,2605,679,179,92,36,5,,737
"Cristiana / Evangelica (002)",2231,33,1091,711,155,44,25,11,2,,159
"Otra (003)",87,3,40,25,8,4,,,,,7
"Ninguna (004)",39,1,17,12,3,1,,,,,5
,,,,,,,,,,,
"URBANA (006)",4028,55,1823,1263,400,129,57,24,1,,276
"Catolica (007)",3151,40,1410,975,344,104,45,18,1,,214
"Cristiana / Evangelica (008)",808,12,384,266,49,22,12,6,,,57
"Otra (009)",45,2,18,13,5,3,,,,,4
"Ninguna (010)",24,1,11,9,2,,,,,,1
,,,,,,,,,,,
"RURAL (012)",6881,88,3438,2090,445,99,60,23,6,,632
"Catolica (013)",5401,66,2703,1630,335,75,47,18,4,,523
"Cristiana / Evangelica (014)",1423,21,707,445,106,22,13,5,2,,102
"Otra (015)",42,1,22,12,3,1,,,,,3
"Ninguna (016)",15,,6,3,1,1,,,,,4
