"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia TACNA (000)",7643,1559,6084
"Sin nivel (001)",203,21,182
"Educación inicial (002)",12,3,9
"Primaria (003)",1091,121,970
"Secundaria (004)",3535,802,2733
"Superior no univ. incompleta (005)",598,140,458
"Superior no univ. completa (006)",720,147,573
"Superior univ. incompleta (007)",556,141,415
"Superior univ. completa (008)",928,184,744
"Hombres (010)",4629,836,3793
"Sin nivel (011)",89,10,79
"Educación inicial (012)",7,2,5
"Primaria (013)",664,51,613
"Secundaria (014)",2257,446,1811
"Superior no univ. incompleta (015)",361,77,284
"Superior no univ. completa (016)",369,70,299
"Superior univ. incompleta (017)",348,87,261
"Superior univ. completa (018)",534,93,441
"Mujeres (020)",3014,723,2291
"Sin nivel (021)",114,11,103
"Educación inicial (022)",5,1,4
"Primaria (023)",427,70,357
"Secundaria (024)",1278,356,922
"Superior no univ. incompleta (025)",237,63,174
"Superior no univ. completa (026)",351,77,274
"Superior univ. incompleta (027)",208,54,154
"Superior univ. completa (028)",394,91,303
,,,
"AREA URBANA (030)",7210,1491,5719
"Sin nivel (031)",178,21,157
"Educación inicial (032)",10,3,7
"Primaria (033)",997,116,881
"Secundaria (034)",3331,761,2570
"Superior no univ. incompleta (035)",570,132,438
"Superior no univ. completa (036)",685,141,544
"Superior univ. incompleta (037)",539,138,401
"Superior univ. completa (038)",900,179,721
"Hombres (040)",4324,792,3532
"Sin nivel (041)",77,10,67
"Educación inicial (042)",6,2,4
"Primaria (043)",597,48,549
"Secundaria (044)",2109,418,1691
"Superior no univ. incompleta (045)",342,73,269
"Superior no univ. completa (046)",346,68,278
"Superior univ. incompleta (047)",335,84,251
"Superior univ. completa (048)",512,89,423
"Mujeres (050)",2886,699,2187
"Sin nivel (051)",101,11,90
"Educación inicial (052)",4,1,3
"Primaria (053)",400,68,332
"Secundaria (054)",1222,343,879
"Superior no univ. incompleta (055)",228,59,169
"Superior no univ. completa (056)",339,73,266
"Superior univ. incompleta (057)",204,54,150
"Superior univ. completa (058)",388,90,298
,,,
"AREA RURAL (060)",433,68,365
"Sin nivel (061)",25,,25
"Educación inicial (062)",2,,2
"Primaria (063)",94,5,89
"Secundaria (064)",204,41,163
"Superior no univ. incompleta (065)",28,8,20
"Superior no univ. completa (066)",35,6,29
"Superior univ. incompleta (067)",17,3,14
"Superior univ. completa (068)",28,5,23
"Hombres (070)",305,44,261
"Sin nivel (071)",12,,12
"Educación inicial (072)",1,,1
"Primaria (073)",67,3,64
"Secundaria (074)",148,28,120
"Superior no univ. incompleta (075)",19,4,15
"Superior no univ. completa (076)",23,2,21
"Superior univ. incompleta (077)",13,3,10
"Superior univ. completa (078)",22,4,18
"Mujeres (080)",128,24,104
"Sin nivel (081)",13,,13
"Educación inicial (082)",1,,1
"Primaria (083)",27,2,25
"Secundaria (084)",56,13,43
"Superior no univ. incompleta (085)",9,4,5
"Superior no univ. completa (086)",12,4,8
"Superior univ. incompleta (087)",4,,4
"Superior univ. completa (088)",6,1,5
