"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ANTONIO RAYMONDI (000)",3281,2482,353,244,202
"Agric., ganadería, caza y silvicultura (001)",1704,1622,76,5,1
"Explotación de minas y canteras (003)",1,1,,,
"Industrias manufactureras (004)",192,105,28,35,24
"Suministro de electricidad, gas y agua (005)",12,5,4,3,
"Construcción (006)",282,169,80,29,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",230,217,5,6,2
"Venta, mant.y rep. veh.autom y motoc. (008)",12,8,1,1,2
"Comercio al por mayor (009)",10,8,1,1,
"Comercio al por menor (010)",208,201,3,4,
"Hoteles y restaurantes (011)",53,48,5,,
"Trans., almac. y comunicaciones (012)",58,55,2,,1
"Intermediación financiera (013)",2,,,,2
"Activid.inmobil., empres. y alquileres (014)",18,10,4,3,1
"Admin.pub. y defensa; p. segur soc.afil (015)",115,,,,115
"Enseñanza (016)",397,108,133,150,6
"Servicios sociales y de salud (017)",52,5,2,,45
"Otras activ. serv.comun.soc y personales (018)",64,44,9,10,1
"Hogares privados con servicio doméstico (019)",38,38,,,
"Actividad economica no especificada (021)",63,55,5,3,
"Hombres (022)",2743,2105,286,200,152
"Agric., ganadería, caza y silvicultura (023)",1658,1580,72,5,1
"Explotación de minas y canteras (025)",1,1,,,
"Industrias manufactureras (026)",156,80,18,34,24
"Suministro de electricidad, gas y agua (027)",11,5,3,3,
"Construcción (028)",280,168,79,29,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",115,105,5,3,2
"Venta, mant.y rep. veh.autom y motoc. (030)",12,8,1,1,2
"Comercio al por mayor (031)",4,3,1,,
"Comercio al por menor (032)",99,94,3,2,
"Hoteles y restaurantes (033)",6,4,2,,
"Trans., almac. y comunicaciones (034)",55,53,1,,1
"Activid.inmobil., empres. y alquileres (036)",17,9,4,3,1
"Admin.pub. y defensa; p. segur soc.afil (037)",96,,,,96
"Enseñanza (038)",271,57,92,117,5
"Servicios sociales y de salud (039)",21,4,,,17
"Otras activ. serv.comun.soc y personales (040)",28,14,9,4,1
"Hogares privados con servicio doméstico (041)",5,5,,,
"Actividad economica no especificada (043)",23,20,1,2,
"Mujeres (044)",538,377,67,44,50
"Agric., ganadería, caza y silvicultura (045)",46,42,4,,
"Industrias manufactureras (048)",36,25,10,1,
