"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia BONGARA (000)",9747,9500,2673,1381,1326,1010,1400,879,831,247
"Católica (001)",6960,6782,1888,1035,997,697,1000,595,570,178
"Cristiana/Evangélica (002)",1742,1702,501,195,209,183,261,185,168,40
"Otra (003)",808,792,207,102,91,109,112,87,84,16
"Ninguna (004)",237,224,77,49,29,21,27,12,9,13
,,,,,,,,,,
"URBANA (006)",6060,5906,1635,914,862,677,864,531,423,154
"Católica (007)",4521,4403,1211,709,676,489,640,385,293,118
"Cristiana/Evangélica (008)",1025,1003,296,118,128,115,154,102,90,22
"Otra (009)",395,386,90,59,44,60,56,40,37,9
"Ninguna (010)",119,114,38,28,14,13,14,4,3,5
,,,,,,,,,,
"RURAL (012)",3687,3594,1038,467,464,333,536,348,408,93
"Católica (013)",2439,2379,677,326,321,208,360,210,277,60
"Cristiana/Evangélica (014)",717,699,205,77,81,68,107,83,78,18
"Otra (015)",413,406,117,43,47,49,56,47,47,7
"Ninguna (016)",118,110,39,21,15,8,13,8,6,8
