"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia LUCANAS (000)",27959,4127,8378,7286,8168
"Asiste actualmente (001)",20112,2433,8014,6702,2963
"No asiste (002)",7847,1694,364,584,5205
"Hombres (004)",14559,2160,4310,3792,4297
"Asiste actualmente (005)",10417,1290,4116,3481,1530
"No asiste (006)",4142,870,194,311,2767
"Mujeres (008)",13400,1967,4068,3494,3871
"Asiste actualmente (009)",9695,1143,3898,3221,1433
"No asiste (010)",3705,824,170,273,2438
,,,,,
"URBANA (012)",16527,2228,4835,4634,4830
"Asiste actualmente (013)",12681,1368,4675,4405,2233
"No asiste (014)",3846,860,160,229,2597
"Hombres (016)",8467,1157,2466,2405,2439
"Asiste actualmente (017)",6501,709,2385,2279,1128
"No asiste (018)",1966,448,81,126,1311
"Mujeres (020)",8060,1071,2369,2229,2391
"Asiste actualmente (021)",6180,659,2290,2126,1105
"No asiste (022)",1880,412,79,103,1286
,,,,,
"RURAL (024)",11432,1899,3543,2652,3338
"Asiste actualmente (025)",7431,1065,3339,2297,730
"No asiste (026)",4001,834,204,355,2608
"Hombres (028)",6092,1003,1844,1387,1858
"Asiste actualmente (029)",3916,581,1731,1202,402
"No asiste (030)",2176,422,113,185,1456
"Mujeres (032)",5340,896,1699,1265,1480
"Asiste actualmente (033)",3515,484,1608,1095,328
"No asiste (034)",1825,412,91,170,1152
