"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia CHUCUITO",,,,,,,,
"Hogares (001)",33639,23932,4538,1367,226,135,438,9235
"Ocupantes presentes (002)",124979,93648,18694,5590,926,556,1807,29351
"Casa independiente",,,,,,,,
"Hogares (004)",30565,21656,4296,1305,214,125,416,8474
"Ocupantes presentes (005)",112590,83994,17684,5297,886,513,1732,26768
"Departamento en edificio",,,,,,,,
"Hogares (007)",31,22,24,9,1,3,7,2
"Ocupantes presentes (008)",138,97,103,44,3,12,24,8
"Vivienda en quinta",,,,,,,,
"Hogares (010)",31,26,14,4,,2,2,4
"Ocupantes presentes (011)",89,76,41,6,,3,7,10
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",253,207,137,26,2,3,10,33
"Ocupantes presentes (014)",1004,848,563,98,11,14,33,107
"Choza o cabaña",,,,,,,,
"Hogares (016)",2738,2008,63,22,8,1,2,716
"Ocupantes presentes (017)",11089,8594,288,144,22,10,7,2435
"Vivienda improvisada",,,,,,,,
"Hogares (019)",1,,1,,,,,
"Ocupantes presentes (020)",5,,5,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",18,11,3,1,1,1,1,6
"Ocupantes presentes (023)",62,37,10,1,4,4,4,23
"Otro tipo",,,,,,,,
"Hogares (025)",2,2,,,,,,
"Ocupantes presentes (026)",2,2,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",8453,6663,2783,951,119,122,381,1526
"Ocupantes presentes (029)",34521,28064,11680,3994,515,491,1599,5315
"Casa independiente",,,,,,,,
"Hogares (031)",8124,6398,2604,912,115,113,361,1485
"Ocupantes presentes (032)",33244,27011,10958,3846,497,458,1531,5183
"Departamento en edificio",,,,,,,,
"Hogares (034)",31,22,24,9,1,3,7,2
"Ocupantes presentes (035)",138,97,103,44,3,12,24,8
"Vivienda en quinta",,,,,,,,
"Hogares (037)",31,26,14,4,,2,2,4
"Ocupantes presentes (038)",89,76,41,6,,3,7,10
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",253,207,137,26,2,3,10,33
"Ocupantes presentes (041)",1004,848,563,98,11,14,33,107
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",1,,1,,,,,
"Ocupantes presentes (047)",5,,5,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",12,9,3,,1,1,1,2
"Ocupantes presentes (050)",40,31,10,,4,4,4,7
"Otro tipo",,,,,,,,
"Hogares (052)",1,1,,,,,,
"Ocupantes presentes (053)",1,1,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",25186,17269,1755,416,107,13,57,7709
"Ocupantes presentes (056)",90458,65584,7014,1596,411,65,208,24036
"Casa independiente",,,,,,,,
"Hogares (058)",22441,15258,1692,393,99,12,55,6989
"Ocupantes presentes (059)",79346,56983,6726,1451,389,55,201,21585
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",2738,2008,63,22,8,1,2,716
"Ocupantes presentes (071)",11089,8594,288,144,22,10,7,2435
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",6,2,,1,,,,4
"Ocupantes presentes (077)",22,6,,1,,,,16
"Otro tipo",,,,,,,,
"Hogares (079)",1,1,,,,,,
"Ocupantes presentes (080)",1,1,,,,,,
