"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANTA (000)",27905,23898,1853,933,1221
"Hombres (001)",19171,16649,1229,555,738
"Mujeres (002)",8734,7249,624,378,483
"De 06 a 14 años (003)",666,593,59,13,1
"Hombres (004)",420,368,43,8,1
"Mujeres (005)",246,225,16,5,
"De 15 a 29 años (006)",9995,8603,773,304,315
"Hombres (007)",6920,6053,513,178,176
"Mujeres (008)",3075,2550,260,126,139
"De 30 a 44 años (009)",9408,7667,661,441,639
"Hombres (010)",6460,5407,419,246,388
"Mujeres (011)",2948,2260,242,195,251
"De 45 a 64 años (012)",6255,5525,317,160,253
"Hombres (013)",4211,3713,224,112,162
"Mujeres (014)",2044,1812,93,48,91
"De 65 y más años (015)",1581,1510,43,15,13
"Hombres (016)",1160,1108,30,11,11
"Mujeres (017)",421,402,13,4,2
,,,,,
"URBANA (018)",13623,10612,1190,750,1071
"Hombres (019)",8250,6454,738,425,633
"Mujeres (020)",5373,4158,452,325,438
"De 06 a 14 años (021)",416,359,45,11,1
"Hombres (022)",254,213,33,7,1
"Mujeres (023)",162,146,12,4,
"De 15 a 29 años (024)",4538,3610,459,215,254
"Hombres (025)",2811,2270,289,112,140
"Mujeres (026)",1727,1340,170,103,114
"De 30 a 44 años (027)",4864,3474,451,370,569
"Hombres (028)",2881,2092,259,195,335
"Mujeres (029)",1983,1382,192,175,234
"De 45 a 64 años (030)",3159,2564,212,146,237
"Hombres (031)",1887,1493,141,104,149
"Mujeres (032)",1272,1071,71,42,88
"De 65 y más años (033)",646,605,23,8,10
"Hombres (034)",417,386,16,7,8
"Mujeres (035)",229,219,7,1,2
,,,,,
"RURAL (036)",14282,13286,663,183,150
"Hombres (037)",10921,10195,491,130,105
"Mujeres (038)",3361,3091,172,53,45
"De 06 a 14 años (039)",250,234,14,2,
"Hombres (040)",166,155,10,1,
"Mujeres (041)",84,79,4,1,
"De 15 a 29 años (042)",5457,4993,314,89,61
"Hombres (043)",4109,3783,224,66,36
"Mujeres (044)",1348,1210,90,23,25
"De 30 a 44 años (045)",4544,4193,210,71,70
"Hombres (046)",3579,3315,160,51,53
"Mujeres (047)",965,878,50,20,17
"De 45 a 64 años (048)",3096,2961,105,14,16
"Hombres (049)",2324,2220,83,8,13
"Mujeres (050)",772,741,22,6,3
"De 65 y más años (051)",935,905,20,7,3
"Hombres (052)",743,722,14,4,3
"Mujeres (053)",192,183,6,3,
