"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
"Otras activ. serv.comun.soc y personales (041)",128,6,46,50,20,6
"Hogares privados con servicio doméstico (042)",32,2,18,3,6,3
"Actividad economica no especificada (044)",430,4,156,117,102,51
"Desocupado (045)",742,11,344,226,129,32
"Mujeres (046)",7749,151,2076,2637,2041,844
"Agric., ganadería, caza y silvicultura (047)",3236,91,578,820,1098,649
"Explotación de minas y canteras (049)",135,,79,35,20,1
"Industrias manufactureras (050)",131,,61,39,23,8
"Suministro de electricidad, gas y agua (051)",5,,1,1,2,1
"Construcción (052)",20,,8,6,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",1384,20,370,549,358,87
"Venta, mant.y rep. veh.autom.y motoc. (054)",11,,3,7,1,
"Comercio al por mayor (055)",37,,10,23,4,
"Comercio al por menor (056)",1336,20,357,519,353,87
"Hoteles y restaurantes (057)",487,20,185,154,113,15
"Trans., almac. y comunicaciones (058)",32,1,13,10,6,2
"Intermediación financiera (059)",12,,7,4,1,
"Activid.inmobil., empres. y alquileres (060)",49,,21,20,7,1
"Admin.pub. y defensa; p. segur.soc afil (061)",90,,30,45,14,1
"Enseñanza (062)",971,,201,562,206,2
"Servicios sociales y de salud (063)",229,,72,114,40,3
"Otras activ. serv.comun.soc y personales (064)",76,1,27,35,11,2
"Hogares privados con servicio doméstico (065)",244,9,143,64,21,7
"Actividad economica no especificada (067)",389,2,127,109,93,58
"Desocupado (068)",259,7,153,70,22,7
,,,,,,
"URBANA (069)",14537,276,3884,5035,3786,1556
"Agric., ganadería, caza y silvicultura (070)",5978,167,1234,1592,1787,1198
"Pesca (071)",4,,1,1,2,
"Explotación de minas y canteras (072)",489,,244,190,50,5
"Industrias manufactureras (073)",449,8,175,139,105,22
"Suministro de electricidad, gas y agua (074)",11,,2,7,2,
"Construcción (075)",475,6,177,165,113,14
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",2014,44,525,748,551,146
"Venta, mant.y rep. veh.autom.y motoc. (077)",93,3,34,35,18,3
"Comercio al por mayor (078)",79,,19,41,17,2
"Comercio al por menor (079)",1842,41,472,672,516,141
"Hoteles y restaurantes (080)",470,19,169,145,115,22
"Trans., almac. y comunicaciones (081)",543,4,216,215,96,12
"Intermediación financiera (082)",29,,19,7,3,
"Activid.inmobil., empres. y alquileres (083)",214,,67,85,50,12
"Admin.pub. y defensa; p. segur.soc afil (084)",374,,67,171,126,10
"Enseñanza (085)",1617,1,246,926,436,8
"Servicios sociales y de salud (086)",359,,89,180,83,7
"Otras activ. serv.comun.soc y personales (087)",169,7,58,70,27,7
"Hogares privados con servicio doméstico (088)",223,7,128,60,21,7
"Actividad economica no especificada (090)",504,5,167,150,120,62
"Desocupado (091)",615,8,300,184,99,24
"Hombres (092)",9182,180,2462,3094,2417,1029
"Agric., ganadería, caza y silvicultura (093)",4153,118,915,1105,1182,833
"Pesca (094)",4,,1,1,2,
"Explotación de minas y canteras (095)",473,,232,186,50,5
"Industrias manufactureras (096)",336,8,122,105,85,16
"Suministro de electricidad, gas y agua (097)",11,,2,7,2,
"Construcción (098)",457,6,171,159,107,14
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",854,25,222,292,248,67
"Venta, mant.y rep. veh.autom.y motoc. (100)",83,3,31,29,17,3
"Comercio al por mayor (101)",43,,9,19,13,2
"Comercio al por menor (102)",728,22,182,244,218,62
"Hoteles y restaurantes (103)",84,5,26,24,22,7
"Trans., almac. y comunicaciones (104)",513,4,204,205,90,10
"Intermediación financiera (105)",17,,12,3,2,
"Activid.inmobil., empres. y alquileres (106)",170,,49,67,43,11
"Admin.pub. y defensa; p. segur.soc afil (107)",302,,44,134,114,10
"Enseñanza (108)",833,1,96,470,260,6
"Servicios sociales y de salud (109)",151,,25,79,43,4
"Otras activ. serv.comun.soc y personales (110)",103,6,36,38,17,6
"Hogares privados con servicio doméstico (111)",16,2,10,2,1,1
"Actividad economica no especificada (113)",261,3,91,80,65,22
"Desocupado (114)",444,2,204,137,84,17
"Mujeres (115)",5355,96,1422,1941,1369,527
"Agric., ganadería, caza y silvicultura (116)",1825,49,319,487,605,365
"Explotación de minas y canteras (118)",16,,12,4,,
"Industrias manufactureras (119)",113,,53,34,20,6
"Construcción (121)",18,,6,6,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (122)",1160,19,303,456,303,79
"Venta, mant.y rep. veh.autom.y motoc. (123)",10,,3,6,1,
"Comercio al por mayor (124)",36,,10,22,4,
"Comercio al por menor (125)",1114,19,290,428,298,79
"Hoteles y restaurantes (126)",386,14,143,121,93,15
"Trans., almac. y comunicaciones (127)",30,,12,10,6,2
"Intermediación financiera (128)",12,,7,4,1,
"Activid.inmobil., empres. y alquileres (129)",44,,18,18,7,1
"Admin.pub. y defensa; p. segur.soc afil (130)",72,,23,37,12,
"Enseñanza (131)",784,,150,456,176,2
"Servicios sociales y de salud (132)",208,,64,101,40,3
"Otras activ. serv.comun.soc y personales (133)",66,1,22,32,10,1
"Hogares privados con servicio doméstico (134)",207,5,118,58,20,6
"Actividad economica no especificada (136)",243,2,76,70,55,40
"Desocupado (137)",171,6,96,47,15,7
,,,,,,
"RURAL (138)",10044,175,3004,2990,2551,1324
"Agric., ganadería, caza y silvicultura (139)",5805,138,1160,1468,1843,1196
"Pesca (140)",1,,1,,,
"Explotación de minas y canteras (141)",2138,6,1087,741,279,25
"Industrias manufactureras (142)",73,1,33,18,15,6
"Suministro de electricidad, gas y agua (143)",21,,12,3,5,1
"Construcción (144)",112,,44,43,21,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (145)",403,8,106,164,108,17
"Venta, mant.y rep. veh.autom.y motoc. (146)",13,,2,5,4,2
"Comercio al por mayor (147)",6,,,5,1,
"Comercio al por menor (148)",384,8,104,154,103,15
"Hoteles y restaurantes (149)",117,6,45,42,24,
"Trans., almac. y comunicaciones (150)",120,1,38,49,31,1
"Intermediación financiera (151)",1,,1,,,
"Activid.inmobil., empres. y alquileres (152)",23,,9,10,2,2
"Admin.pub. y defensa; p. segur.soc afil (153)",85,,26,33,21,5
"Enseñanza (154)",316,,68,186,62,
"Servicios sociales y de salud (155)",40,,13,23,3,1
"Otras activ. serv.comun.soc y personales (156)",35,,15,15,4,1
"Hogares privados con servicio doméstico (157)",53,4,33,7,6,3
"Actividad economica no especificada (159)",315,1,116,76,75,47
"Desocupado (160)",386,10,197,112,52,15
"Hombres (161)",7650,120,2350,2294,1879,1007
"Agric., ganadería, caza y silvicultura (162)",4394,96,901,1135,1350,912
"Pesca (163)",1,,1,,,
"Explotación de minas y canteras (164)",2019,6,1020,710,259,24
"Industrias manufactureras (165)",55,1,25,13,12,4
"Suministro de electricidad, gas y agua (166)",16,,11,2,3,
"Construcción (167)",110,,42,43,21,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (168)",179,7,39,71,53,9
"Venta, mant.y rep. veh.autom.y motoc. (169)",12,,2,4,4,2
"Comercio al por mayor (170)",5,,,4,1,
"Comercio al por menor (171)",162,7,37,63,48,7
"Hoteles y restaurantes (172)",16,,3,9,4,
"Trans., almac. y comunicaciones (173)",118,,37,49,31,1
"Intermediación financiera (174)",1,,1,,,
"Activid.inmobil., empres. y alquileres (175)",18,,6,8,2,2
"Admin.pub. y defensa; p. segur.soc afil (176)",67,,19,25,19,4
"Enseñanza (177)",129,,17,80,32,
"Servicios sociales y de salud (178)",19,,5,10,3,1
"Otras activ. serv.comun.soc y personales (179)",25,,10,12,3,
"Hogares privados con servicio doméstico (180)",16,,8,1,5,2
"Actividad economica no especificada (182)",169,1,65,37,37,29
"Desocupado (183)",298,9,140,89,45,15
"Mujeres (184)",2394,55,654,696,672,317
"Agric., ganadería, caza y silvicultura (185)",1411,42,259,333,493,284
"Explotación de minas y canteras (187)",119,,67,31,20,1
"Industrias manufactureras (188)",18,,8,5,3,2
"Suministro de electricidad, gas y agua (189)",5,,1,1,2,1
"Construcción (190)",2,,2,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (191)",224,1,67,93,55,8
"Venta, mant.y rep. veh.autom.y motoc. (192)",1,,,1,,
"Comercio al por mayor (193)",1,,,1,,
"Comercio al por menor (194)",222,1,67,91,55,8
"Hoteles y restaurantes (195)",101,6,42,33,20,
"Trans., almac. y comunicaciones (196)",2,1,1,,,
"Activid.inmobil., empres. y alquileres (198)",5,,3,2,,
"Admin.pub. y defensa; p. segur.soc afil (199)",18,,7,8,2,1
"Enseñanza (200)",187,,51,106,30,
"Servicios sociales y de salud (201)",21,,8,13,,
"Otras activ. serv.comun.soc y personales (202)",10,,5,3,1,1
"Hogares privados con servicio doméstico (203)",37,4,25,6,1,1
"Actividad economica no especificada (205)",146,,51,39,38,18
"Desocupado (206)",88,1,57,23,7,
