"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TUMBES (000)",130937,9741,3922,41717,47410,6419,10188,4622,6918
"Jefe o Jefa (001)",35344,1226,31,11564,13156,1557,3572,1224,3014
"Esposa(o)/ compa¤era(o) (002)",24151,698,23,7841,9319,1263,2765,643,1599
"Hijo(a)/ hijastro(a) (003)",53442,5662,3111,16752,18712,2708,2752,2144,1601
"Yerno/ nuera (004)",2598,9,1,264,1371,257,349,137,210
"Nieto(a) (005)",5886,1276,570,2183,1407,171,117,116,46
"Padres/ suegros (006)",1086,236,,644,134,10,30,5,27
"Otro(a) pariente (007)",6825,561,167,2058,2653,358,474,277,277
"Trabajador(a) del hogar (008)",135,3,2,56,61,5,3,1,4
"Pensionista (009)",203,2,,40,104,9,16,9,23
"Otro(a) no pariente (010)",1267,68,17,315,493,81,110,66,117
"Hombres (012)",66187,4746,2031,20424,25074,3078,4560,2509,3765
"Jefe o Jefa (013)",27413,712,27,8413,10697,1247,2781,1013,2523
"Esposa(o)/ compa¤era(o) (014)",1271,38,1,403,542,71,112,36,68
"Hijo(a)/ hijastro(a) (015)",28289,2935,1597,8816,10558,1321,1150,1131,781
"Yerno/ nuera (016)",1149,2,1,112,545,112,177,70,130
"Nieto(a) (017)",3107,661,302,1142,784,79,50,66,23
"Padres/ suegros (018)",344,59,,217,47,4,10,3,4
"Otro(a) pariente (019)",3719,302,96,1096,1516,193,220,147,149
"Trabajador(a) del hogar (020)",14,1,,3,10,,,,
"Pensionista (021)",153,2,,34,74,7,12,5,19
"Otro(a) no pariente (022)",728,34,7,188,301,44,48,38,68
"Mujeres (024)",64750,4995,1891,21293,22336,3341,5628,2113,3153
"Jefe o Jefa (025)",7931,514,4,3151,2459,310,791,211,491
"Esposa(o)/ compa¤era(o) (026)",22880,660,22,7438,8777,1192,2653,607,1531
"Hijo(a)/ hijastro(a) (027)",25153,2727,1514,7936,8154,1387,1602,1013,820
"Yerno/ nuera (028)",1449,7,,152,826,145,172,67,80
"Nieto(a) (029)",2779,615,268,1041,623,92,67,50,23
"Padres/ suegros (030)",742,177,,427,87,6,20,2,23
"Otro(a) pariente (031)",3106,259,71,962,1137,165,254,130,128
"Trabajador(a) del hogar (032)",121,2,2,53,51,5,3,1,4
"Pensionista (033)",50,,,6,30,2,4,4,4
"Otro(a) no pariente (034)",539,34,10,127,192,37,62,28,49
,,,,,,,,,
"URBANA (036)",120371,8768,3648,37226,43672,6082,9727,4455,6793
"Jefe o Jefa (037)",32534,995,28,10037,12305,1516,3458,1213,2982
"Esposa(o)/ compa¤era(o) (038)",22079,572,23,6767,8625,1228,2661,630,1573
"Hijo(a)/ hijastro(a) (039)",48945,5216,2885,15316,16919,2484,2553,2026,1546
"Yerno/ nuera (040)",2407,7,1,225,1261,242,338,130,203
"Nieto(a) (041)",5475,1201,539,2030,1286,157,108,109,45
"Padres/ suegros (042)",1015,206,,609,131,10,28,5,26
"Otro(a) pariente (043)",6389,502,155,1870,2514,351,454,267,276
