"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MARISCAL LUZURIAGA (000)",8321,8055,2330,850,769,748,1256,1031,656,415,266,26976
"De 12 a 14 años (001)",917,903,903,,,,,,,,14,
"De 15 a 19 años (002)",1158,1140,1004,125,11,,,,,,18,147
"De 20 a 24 años (003)",902,795,235,304,175,58,18,5,,,107,938
"De 25 a 29 años (004)",704,656,48,170,182,146,96,11,3,,48,1472
"De 30 a 34 años (005)",711,689,26,74,148,160,191,75,14,1,22,2289
"De 35 a 39 años (006)",610,594,8,33,67,113,209,106,39,19,16,2637
"De 40 a 44 años (007)",548,542,14,21,31,71,155,155,69,26,6,2863
"De 45 a 49 años (008)",512,511,10,20,20,44,114,136,106,61,1,3141
"De 50 y más años (009)",2259,2225,82,103,135,156,473,543,425,308,34,13489
"PEA (010)",991,938,133,132,141,125,180,121,63,43,53,3359
"De 12 a 14 años (011)",11,11,11,,,,,,,,,
"De 15 a 19 años (012)",52,52,46,6,,,,,,,,6
"De 20 a 24 años (013)",104,87,34,30,17,4,2,,,,17,84
"De 25 a 29 años (014)",136,120,18,40,31,22,9,,,,16,207
"De 30 a 34 años (015)",148,139,10,23,40,26,32,7,1,,9,375
"De 35 a 39 años (016)",128,120,5,11,22,25,40,10,5,2,8,437
"De 40 a 44 años (017)",108,108,2,6,11,17,29,29,6,8,,534
"De 45 a 49 años (018)",88,88,,5,5,17,21,23,9,8,,465
"De 50 y más años (019)",216,213,7,11,15,14,47,52,42,25,3,1251
"Ocupada (020)",918,875,107,121,136,121,176,114,58,42,43,3208
"De 12 a 14 años (021)",11,11,11,,,,,,,,,
"De 15 a 19 años (022)",35,35,31,4,,,,,,,,4
"De 20 a 24 años (023)",82,73,24,27,17,3,2,,,,9,78
