"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SAN MARTIN (000)",1958,512,1446
"Sin nivel (001)",21,8,13
"Educación inicial (002)",5,3,2
"Primaria (003)",464,112,352
"Secundaria (004)",868,240,628
"Superior no univ. incompleta (005)",139,36,103
"Superior no univ. completa (006)",215,46,169
"Superior univ. incompleta (007)",100,38,62
"Superior univ. completa (008)",146,29,117
"De 14 a 29 años (010)",1056,382,674
"Sin nivel (011)",7,3,4
"Educación inicial (012)",4,2,2
"Primaria (013)",156,66,90
"Secundaria (014)",529,190,339
"Superior no univ. incompleta (015)",96,30,66
"Superior no univ. completa (016)",129,34,95
"Superior univ. incompleta (017)",73,36,37
"Superior univ. completa (018)",62,21,41
"De 30 a 44 años (020)",553,107,446
"Sin nivel (021)",5,4,1
"Educación inicial (022)",1,1,
"Primaria (023)",148,36,112
"Secundaria (024)",225,39,186
"Superior no univ. incompleta (025)",34,6,28
"Superior no univ. completa (026)",59,11,48
"Superior univ. incompleta (027)",18,2,16
"Superior univ. completa (028)",63,8,55
"De 45 a 64 años (030)",298,23,275
"Sin nivel (031)",8,1,7
"Primaria (033)",120,10,110
"Secundaria (034)",108,11,97
"Superior no univ. incompleta (035)",9,,9
"Superior no univ. completa (036)",24,1,23
"Superior univ. incompleta (037)",9,,9
"Superior univ. completa (038)",20,,20
"De 65 y más años (040)",51,,51
"Sin nivel (041)",1,,1
"Primaria (043)",40,,40
"Secundaria (044)",6,,6
"Superior no univ. completa (046)",3,,3
"Superior univ. completa (048)",1,,1
,,,
"AREA URBANA (050)",1803,442,1361
"Sin nivel (051)",16,6,10
"Educación inicial (052)",5,3,2
"Primaria (053)",369,68,301
"Secundaria (054)",821,216,605
"Superior no univ. incompleta (055)",136,36,100
"Superior no univ. completa (056)",212,46,166
"Superior univ. incompleta (057)",100,38,62
"Superior univ. completa (058)",144,29,115
"De 14 a 29 años (060)",987,342,645
"Sin nivel (061)",7,3,4
"Educación inicial (062)",4,2,2
"Primaria (063)",116,39,77
"Secundaria (064)",503,177,326
"Superior no univ. incompleta (065)",94,30,64
"Superior no univ. completa (066)",128,34,94
"Superior univ. incompleta (067)",73,36,37
"Superior univ. completa (068)",62,21,41
"De 30 a 44 años (070)",503,84,419
"Sin nivel (071)",3,2,1
"Educación inicial (072)",1,1,
"Primaria (073)",121,24,97
"Secundaria (074)",208,30,178
"Superior no univ. incompleta (075)",33,6,27
"Superior no univ. completa (076)",57,11,46
"Superior univ. incompleta (077)",18,2,16
"Superior univ. completa (078)",62,8,54
"De 45 a 64 años (080)",270,16,254
"Sin nivel (081)",5,1,4
"Primaria (083)",100,5,95
"Secundaria (084)",104,9,95
"Superior no univ. incompleta (085)",9,,9
"Superior no univ. completa (086)",24,1,23
"Superior univ. incompleta (087)",9,,9
"Superior univ. completa (088)",19,,19
"De 65 y más años (090)",43,,43
"Sin nivel (091)",1,,1
"Primaria (093)",32,,32
"Secundaria (094)",6,,6
"Superior no univ. completa (096)",3,,3
"Superior univ. completa (098)",1,,1
,,,
"AREA RURAL (100)",155,70,85
"Sin nivel (101)",5,2,3
"Primaria (103)",95,44,51
"Secundaria (104)",47,24,23
"Superior no univ. incompleta (105)",3,,3
"Superior no univ. completa (106)",3,,3
"Superior univ. completa (108)",2,,2
"De 14 a 29 años (110)",69,40,29
"Primaria (113)",40,27,13
"Secundaria (114)",26,13,13
"Superior no univ. incompleta (115)",2,,2
"Superior no univ. completa (116)",1,,1
"De 30 a 44 años (120)",50,23,27
"Sin nivel (121)",2,2,
"Primaria (123)",27,12,15
"Secundaria (124)",17,9,8
"Superior no univ. incompleta (125)",1,,1
"Superior no univ. completa (126)",2,,2
"Superior univ. completa (128)",1,,1
"De 45 a 64 años (130)",28,7,21
"Sin nivel (131)",3,,3
"Primaria (133)",20,5,15
"Secundaria (134)",4,2,2
"Superior univ. completa (138)",1,,1
"De 65 y más años (140)",8,,8
"Primaria (143)",8,,8
