"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CAMANA (000)",19735,19039,5636,3122,3488,2419,2377,1090,907,696
"Católica (001)",17383,16772,4929,2820,3117,2157,2046,933,770,611
"Cristiana/Evangélica (002)",1211,1158,353,148,171,140,173,93,80,53
"Otra (003)",831,809,247,103,134,92,125,59,49,22
"Ninguna (004)",310,300,107,51,66,30,33,5,8,10
,,,,,,,,,,
"URBANA (006)",17295,16665,5019,2649,3062,2136,2091,942,766,630
"Católica (007)",15213,14666,4383,2384,2746,1904,1806,799,644,547
"Cristiana/Evangélica (008)",1063,1011,310,131,147,126,140,87,70,52
"Otra (009)",745,724,227,92,115,80,114,51,45,21
"Ninguna (010)",274,264,99,42,54,26,31,5,7,10
,,,,,,,,,,
"RURAL (012)",2440,2374,617,473,426,283,286,148,141,66
"Católica (013)",2170,2106,546,436,371,253,240,134,126,64
"Cristiana/Evangélica (014)",148,147,43,17,24,14,33,6,10,1
"Otra (015)",86,85,20,11,19,12,11,8,4,1
"Ninguna (016)",36,36,8,9,12,4,2,,1,
