"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUALGAYOC (000)",84392,21442,2019,41954,14049,1297,2240,410,981
"Quechua (001)",58,6,1,11,23,4,6,3,4
"Aymara (002)",23,5,2,9,3,4,,,
"Ashaninca (003)",6,2,1,2,1,,,,
"Otra lengua nativa (004)",11,1,,6,3,,1,,
"Castellano (005)",84089,21258,2014,41903,14016,1289,2231,407,971
"Idioma extranjero (006)",9,,,,2,,1,,6
"Es sordomudo/a (007)",196,170,1,23,1,,1,,
"Hombres (009)",40851,5977,1005,22130,8780,744,1300,271,644
"Quechua (010)",44,,,8,20,4,6,2,4
"Aymara (011)",8,1,1,2,1,3,,,
"Ashaninca (012)",4,1,1,2,,,,,
"Otra lengua nativa (013)",9,,,6,2,,1,,
"Castellano (014)",40689,5901,1003,22099,8755,737,1291,269,634
"Idioma extranjero (015)",8,,,,1,,1,,6
"Es sordomudo/a (016)",89,74,,13,1,,1,,
"Mujeres (018)",43541,15465,1014,19824,5269,553,940,139,337
"Quechua (019)",14,6,1,3,3,,,1,
"Aymara (020)",15,4,1,7,2,1,,,
"Ashaninca (021)",2,1,,,1,,,,
"Otra lengua nativa (022)",2,1,,,1,,,,
"Castellano (023)",43400,15357,1011,19804,5261,552,940,138,337
"Idioma extranjero (024)",1,,,,1,,,,
"Es sordomudo/a (025)",107,96,1,10,,,,,
,,,,,,,,,
"URBANA (027)",19308,2978,408,6932,4981,943,1862,340,864
"Quechua (028)",46,3,1,7,19,4,5,3,4
"Aymara (029)",13,2,,5,2,4,,,
"Ashaninca (030)",3,1,,1,1,,,,
"Otra lengua nativa (031)",9,,,5,3,,1,,
"Castellano (032)",19210,2952,407,6914,4956,935,1855,337,854
"Idioma extranjero (033)",7,,,,,,1,,6
"Es sordomudo/a (034)",20,20,,,,,,,
"Hombres (036)",9880,869,186,3599,2912,515,1025,219,555
"Quechua (037)",37,,,4,18,4,5,2,4
"Aymara (038)",6,,,2,1,3,,,
"Ashaninca (039)",1,,,1,,,,,
"Otra lengua nativa (040)",8,,,5,2,,1,,
"Castellano (041)",9811,859,186,3587,2891,508,1018,217,545
"Idioma extranjero (042)",7,,,,,,1,,6
"Es sordomudo/a (043)",10,10,,,,,,,
"Mujeres (045)",9428,2109,222,3333,2069,428,837,121,309
"Quechua (046)",9,3,1,3,1,,,1,
"Aymara (047)",7,2,,3,1,1,,,
"Ashaninca (048)",2,1,,,1,,,,
"Otra lengua nativa (049)",1,,,,1,,,,
"Castellano (050)",9399,2093,221,3327,2065,427,837,120,309
"Es sordomudo/a (052)",10,10,,,,,,,
,,,,,,,,,
"RURAL (054)",65084,18464,1611,35022,9068,354,378,70,117
"Quechua (055)",12,3,,4,4,,1,,
"Aymara (056)",10,3,2,4,1,,,,
"Ashaninca (057)",3,1,1,1,,,,,
"Otra lengua nativa (058)",2,1,,1,,,,,
"Castellano (059)",64879,18306,1607,34989,9060,354,376,70,117
"Idioma extranjero (060)",2,,,,2,,,,
"Es sordomudo/a (061)",176,150,1,23,1,,1,,
"Hombres (063)",30971,5108,819,18531,5868,229,275,52,89
"Quechua (064)",7,,,4,2,,1,,
"Aymara (065)",2,1,1,,,,,,
"Ashaninca (066)",3,1,1,1,,,,,
"Otra lengua nativa (067)",1,,,1,,,,,
"Castellano (068)",30878,5042,817,18512,5864,229,273,52,89
"Idioma extranjero (069)",1,,,,1,,,,
"Es sordomudo/a (070)",79,64,,13,1,,1,,
"Mujeres (072)",34113,13356,792,16491,3200,125,103,18,28
"Quechua (073)",5,3,,,2,,,,
"Aymara (074)",8,2,1,4,1,,,,
"Otra lengua nativa (076)",1,1,,,,,,,
"Castellano (077)",34001,13264,790,16477,3196,125,103,18,28
"Idioma extranjero (078)",1,,,,1,,,,
"Es sordomudo/a (079)",97,86,1,10,,,,,
