"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia CARABAYA",,,,,,,,
"Viviendas particulares (001)",19221,16312,1406,15,155,1294,8,31
"Ocupantes presentes (002)",72425,62202,5192,60,550,4284,34,103
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",15661,13147,1260,15,134,1076,8,21
"Ocupantes presentes (005)",61844,52613,4835,60,505,3726,34,71
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",3,,3,,,,,
"Ocupantes presentes (011)",15,,15,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",317,91,113,,20,93,,
"Ocupantes presentes (014)",716,241,234,,44,197,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",3199,3043,27,,,122,,7
"Ocupantes presentes (017)",9763,9286,100,,,358,,19
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (019)",2,1,,,,,,1
"Ocupantes presentes (020)",9,3,,,,,,6
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",9,5,3,,1,,,
"Ocupantes presentes (023)",16,7,8,,1,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (025)",30,25,,,,3,,2
"Ocupantes presentes (026)",62,52,,,,3,,7
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",7160,5132,1036,11,139,832,2,8
"Ocupantes presentes (029)",29123,21701,3891,46,508,2920,10,47
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",6830,5036,917,11,118,739,2,7
"Ocupantes presentes (032)",28368,21451,3634,46,463,2723,10,41
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",3,,3,,,,,
"Ocupantes presentes (038)",15,,15,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",317,91,113,,20,93,,
"Ocupantes presentes (041)",716,241,234,,44,197,,
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (046)",2,1,,,,,,1
"Ocupantes presentes (047)",9,3,,,,,,6
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",8,4,3,,1,,,
"Ocupantes presentes (050)",15,6,8,,1,,,
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",12061,11180,370,4,16,462,6,23
"Ocupantes presentes (056)",43302,40501,1301,14,42,1364,24,56
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",8831,8111,343,4,16,337,6,14
"Ocupantes presentes (059)",33476,31162,1201,14,42,1003,24,30
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",3199,3043,27,,,122,,7
"Ocupantes presentes (071)",9763,9286,100,,,358,,19
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (076)",1,1,,,,,,
"Ocupantes presentes (077)",1,1,,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (079)",30,25,,,,3,,2
"Ocupantes presentes (080)",62,52,,,,3,,7
