"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia TAYACAJA (000)",104901,1849,40783,24913,17344,13659,6353
"Hombres (001)",52038,925,20691,12454,8443,6636,2889
"Mujeres (002)",52863,924,20092,12459,8901,7023,3464
"Viviendas particulares (003)",104406,1848,40771,24617,17223,13601,6346
"Hombres (004)",51618,924,20686,12183,8351,6592,2882
"Mujeres (005)",52788,924,20085,12434,8872,7009,3464
"Viviendas colectivas (006)",367,,5,259,70,32,1
"Hombres (007)",320,,2,243,50,24,1
"Mujeres (008)",47,,3,16,20,8,
"Otro tipo (009)",128,1,7,37,51,26,6
"Hombres (010)",100,1,3,28,42,20,6
"Mujeres (011)",28,,4,9,9,6,
,,,,,,,
"URBANA (012)",25677,409,9031,6419,4742,3449,1627
"Hombres (013)",12750,232,4571,3285,2259,1676,727
"Mujeres (014)",12927,177,4460,3134,2483,1773,900
"Viviendas particulares (015)",25197,408,9020,6124,4624,3400,1621
"Hombres (016)",12339,231,4567,3014,2168,1638,721
"Mujeres (017)",12858,177,4453,3110,2456,1762,900
"Viviendas colectivas (018)",354,,5,259,67,23,
"Hombres (019)",312,,2,243,49,18,
"Mujeres (020)",42,,3,16,18,5,
"Otro tipo (021)",126,1,6,36,51,26,6
"Hombres (022)",99,1,2,28,42,20,6
"Mujeres (023)",27,,4,8,9,6,
,,,,,,,
"RURAL (024)",79224,1440,31752,18494,12602,10210,4726
"Hombres (025)",39288,693,16120,9169,6184,4960,2162
"Mujeres (026)",39936,747,15632,9325,6418,5250,2564
"Viviendas particulares (027)",79209,1440,31751,18493,12599,10201,4725
"Hombres (028)",39279,693,16119,9169,6183,4954,2161
"Mujeres (029)",39930,747,15632,9324,6416,5247,2564
"Viviendas colectivas (030)",13,,,,3,9,1
"Hombres (031)",8,,,,1,6,1
"Mujeres (032)",5,,,,2,3,
"Otro tipo (033)",2,,1,1,,,
"Hombres (034)",1,,1,,,,
"Mujeres (035)",1,,,1,,,
