"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia PURUS (000)",851,,9,29,43,126,454,190
"De 12 a 14 años (001)",8,,,,,,4,4
"De 15 a 19 años (002)",101,,,,,,65,36
"De 20 a 24 años (003)",117,,,,,,84,33
"De 25 a 29 años (004)",151,,,,,7,122,22
"De 30 a 34 años (005)",120,,,,1,11,79,29
"De 35 a 39 años (006)",90,,,,,21,52,17
"De 40 a 44 años (007)",85,,,,2,32,38,13
"De 45 a 49 años (008)",54,,,,4,33,10,7
"De 50 y más años (009)",125,,9,29,36,22,,29
"PEA (010)",197,,,2,10,38,88,59
"De 15 a 19 años (012)",9,,,,,,7,2
"De 20 a 24 años (013)",29,,,,,,17,12
"De 25 a 29 años (014)",32,,,,,3,21,8
"De 30 a 34 años (015)",37,,,,,4,16,17
"De 35 a 39 años (016)",25,,,,,8,10,7
"De 40 a 44 años (017)",34,,,,1,12,14,7
"De 45 a 49 años (018)",17,,,,2,9,3,3
"De 50 y más años (019)",14,,,2,7,2,,3
"Ocupada (020)",195,,,2,10,38,87,58
"De 15 a 19 años (022)",9,,,,,,7,2
"De 20 a 24 años (023)",29,,,,,,17,12
"De 25 a 29 años (024)",30,,,,,3,20,7
"De 30 a 34 años (025)",37,,,,,4,16,17
"De 35 a 39 años (026)",25,,,,,8,10,7
"De 40 a 44 años (027)",34,,,,1,12,14,7
"De 45 a 49 años (028)",17,,,,2,9,3,3
"De 50 y más años (029)",14,,,2,7,2,,3
"Desocupada (030)",2,,,,,,1,1
"De 25 a 29 años (034)",2,,,,,,1,1
"No PEA (040)",654,,9,27,33,88,366,131
"De 12 a 14 años (041)",8,,,,,,4,4
"De 15 a 19 años (042)",92,,,,,,58,34
"De 20 a 24 años (043)",88,,,,,,67,21
"De 25 a 29 años (044)",119,,,,,4,101,14
"De 30 a 34 años (045)",83,,,,1,7,63,12
"De 35 a 39 años (046)",65,,,,,13,42,10
"De 40 a 44 años (047)",51,,,,1,20,24,6
"De 45 a 49 años (048)",37,,,,2,24,7,4
"De 50 y más años (049)",111,,9,27,29,20,,26
,,,,,,,,
"URBANA (060)",285,,1,5,11,53,141,74
"De 12 a 14 años (061)",3,,,,,,1,2
"De 15 a 19 años (062)",24,,,,,,15,9
"De 20 a 24 años (063)",39,,,,,,29,10
"De 25 a 29 años (064)",54,,,,,3,39,12
"De 30 a 34 años (065)",51,,,,,6,27,18
"De 35 a 39 años (066)",31,,,,,8,15,8
"De 40 a 44 años (067)",33,,,,,14,13,6
"De 45 a 49 años (068)",19,,,,2,13,2,2
"De 50 y más años (069)",31,,1,5,9,9,,7
