"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia YAUYOS (000)",9441,9164,2294,1026,1074,994,1608,1098,658,412,277,30527
"De 12 a 14 años (001)",800,799,796,2,1,,,,,,1,4
"De 15 a 19 años (002)",852,843,716,107,18,2,,,,,9,149
"De 20 a 24 años (003)",772,707,269,252,136,35,15,,,,65,690
"De 25 a 29 años (004)",810,740,136,196,204,120,72,10,2,,70,1352
"De 30 a 34 años (005)",812,771,72,117,177,175,176,48,5,1,41,2113
"De 35 a 39 años (006)",795,766,53,87,144,141,214,96,28,3,29,2612
"De 40 a 44 años (007)",722,700,42,52,91,119,201,117,57,21,22,2944
"De 45 a 49 años (008)",610,600,28,37,56,91,153,131,71,33,10,2928
"De 50 y más años (009)",3268,3238,182,176,247,311,777,696,495,354,30,17735
"PEA (010)",4276,4132,642,594,594,519,752,517,321,193,144,14851
"De 12 a 14 años (011)",42,42,42,,,,,,,,,
"De 15 a 19 años (012)",172,170,119,44,6,1,,,,,2,59
"De 20 a 24 años (013)",393,360,144,127,67,13,9,,,,33,337
"De 25 a 29 años (014)",491,443,102,124,116,63,34,4,,,48,713
"De 30 a 34 años (015)",476,450,55,83,111,86,84,28,3,,26,1125
"De 35 a 39 años (016)",451,434,42,57,77,81,106,54,14,3,17,1405
"De 40 a 44 años (017)",419,410,24,40,59,69,117,64,27,10,9,1636
"De 45 a 49 años (018)",358,354,22,29,38,54,90,68,41,12,4,1586
"De 50 y más años (019)",1474,1469,92,90,120,152,312,299,236,168,5,7990
"Ocupada (020)",4194,4056,603,579,587,517,744,513,321,192,138,14746
"De 12 a 14 años (021)",41,41,41,,,,,,,,,
"De 15 a 19 años (022)",162,160,110,43,6,1,,,,,2,58
