"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia BONGARA (000)",10037,8571,479,408,579
"Sin nivel (001)",638,619,12,5,2
"Educación inicial (002)",16,16,,,
"Primaria (003)",5211,4918,166,55,72
"Secundaria (004)",2584,2207,133,102,142
"Superior no univ. incompleta (005)",275,174,26,40,35
"Superior no univ. completa (006)",617,251,70,105,191
"Superior univ. incompleta (007)",195,126,15,19,35
"Superior univ. completa (008)",501,260,57,82,102
"De 06 a 14 años (010)",216,207,9,,
"Sin nivel (011)",14,12,2,,
"Educación inicial (012)",3,3,,,
"Primaria (013)",160,156,4,,
"Secundaria (014)",39,36,3,,
"De 15 a 29 años (020)",3324,2863,170,116,175
"Sin nivel (021)",68,64,2,2,
"Educación inicial (022)",7,7,,,
"Primaria (023)",1573,1467,52,22,32
"Secundaria (024)",1246,1083,68,46,49
"Superior no univ. incompleta (025)",101,72,11,9,9
"Superior no univ. completa (026)",172,79,17,23,53
"Superior univ. incompleta (027)",59,49,3,1,6
"Superior univ. completa (028)",98,42,17,13,26
"De 30 a 44 años (030)",3495,2833,191,195,276
"Sin nivel (031)",179,179,,,
"Educación inicial (032)",6,6,,,
"Primaria (033)",1667,1568,55,21,23
"Secundaria (034)",869,724,46,39,60
"Superior no univ. incompleta (035)",120,70,11,22,17
"Superior no univ. completa (036)",306,107,46,54,99
"Superior univ. incompleta (037)",92,49,7,13,23
"Superior univ. completa (038)",256,130,26,46,54
"De 45 a 64 años (040)",2315,2008,91,95,121
"Sin nivel (041)",233,225,5,2,1
"Primaria (043)",1352,1283,44,11,14
"Secundaria (044)",387,321,16,17,33
"Superior no univ. incompleta (045)",47,28,2,9,8
"Superior no univ. completa (046)",127,56,6,28,37
"Superior univ. incompleta (047)",39,23,5,5,6
"Superior univ. completa (048)",130,72,13,23,22
"De 65 y más años (050)",687,660,18,2,7
"Sin nivel (051)",144,139,3,1,1
"Primaria (053)",459,444,11,1,3
"Secundaria (054)",43,43,,,
"Superior no univ. incompleta (055)",7,4,2,,1
"Superior no univ. completa (056)",12,9,1,,2
"Superior univ. incompleta (057)",5,5,,,
"Superior univ. completa (058)",17,16,1,,
,,,,,
"URBANA (060)",6248,5078,341,347,482
"Sin nivel (061)",238,224,8,4,2
