"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CHICLAYO (000)",750284,12903,202816,205250,156268,122606,50441
"Casa independiente (001)",709592,12118,192146,193182,147073,116499,48574
"Departamento en edificio (002)",23824,446,5902,7087,5582,3788,1019
"Vivienda en quinta (003)",6659,127,1734,2025,1422,973,378
"Vivienda en casa de vecindad (004)",7395,161,2131,2193,1587,976,347
"Choza o cabaña (005)",1029,19,315,284,202,135,74
"Vivienda improvisada (006)",931,16,369,241,193,95,17
"Local no destinado para hab.humana (007)",770,14,191,209,194,131,31
"Otro tipo (008)",84,2,28,29,15,9,1
,,,,,,,
"URBANA (009)",701171,12041,187981,192203,146472,115398,47076
"Casa independiente (010)",661708,11279,177688,180484,137523,109448,45286
"Departamento en edificio (011)",23824,446,5902,7087,5582,3788,1019
"Vivienda en quinta (012)",6659,127,1734,2025,1422,973,378
"Vivienda en casa de vecindad (013)",7395,161,2131,2193,1587,976,347
"Vivienda improvisada (015)",931,16,369,241,193,95,17
"Local no destinado para hab.humana (016)",577,10,131,146,153,109,28
"Otro tipo (017)",77,2,26,27,12,9,1
,,,,,,,
"RURAL (018)",49113,862,14835,13047,9796,7208,3365
"Casa independiente (019)",47884,839,14458,12698,9550,7051,3288
"Choza o cabaña (023)",1029,19,315,284,202,135,74
"Local no destinado para hab.humana (025)",193,4,60,63,41,22,3
"Otro tipo (026)",7,,2,2,3,,
