"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia AREQUIPA (000)",594358,583999,10359
"Hombres (001)",279272,274647,4625
"Mujeres (002)",315086,309352,5734
"De 18 a 29 años (003)",200917,194836,6081
"Hombres (004)",96905,93821,3084
"Mujeres (005)",104012,101015,2997
"De 30 a 44 años (006)",187377,186348,1029
"Hombres (007)",86072,85541,531
"Mujeres (008)",101305,100807,498
"De 45 a 64 años (009)",142348,141332,1016
"Hombres (010)",66159,65730,429
"Mujeres (011)",76189,75602,587
"De 65 y más años (012)",63716,61483,2233
"Hombres (013)",30136,29555,581
"Mujeres (014)",33580,31928,1652
,,,
"URBANA (015)",580104,570096,10008
"Hombres (016)",271445,266986,4459
"Mujeres (017)",308659,303110,5549
"De 18 a 29 años (018)",196533,190637,5896
"Hombres (019)",94494,91504,2990
"Mujeres (020)",102039,99133,2906
"De 30 a 44 años (021)",183039,182049,990
"Hombres (022)",83745,83231,514
"Mujeres (023)",99294,98818,476
"De 45 a 64 años (024)",138693,137724,969
"Hombres (025)",64161,63760,401
"Mujeres (026)",74532,73964,568
"De 65 y más años (027)",61839,59686,2153
"Hombres (028)",29045,28491,554
"Mujeres (029)",32794,31195,1599
,,,
"RURAL (030)",14254,13903,351
"Hombres (031)",7827,7661,166
"Mujeres (032)",6427,6242,185
"De 18 a 29 años (033)",4384,4199,185
"Hombres (034)",2411,2317,94
"Mujeres (035)",1973,1882,91
"De 30 a 44 años (036)",4338,4299,39
"Hombres (037)",2327,2310,17
"Mujeres (038)",2011,1989,22
"De 45 a 64 años (039)",3655,3608,47
"Hombres (040)",1998,1970,28
"Mujeres (041)",1657,1638,19
"De 65 y más años (042)",1877,1797,80
"Hombres (043)",1091,1064,27
"Mujeres (044)",786,733,53
