"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia HUANCAYO (000)",189573,414678,380177,,6886,91.7,1.7
"De 12 a 14 años (001)",15806,62,60,,6,96.8,9.7
"De 15 a 19 años (002)",25496,2161,2080,614,96.3,28.4,
"De 20 a 24 años (003)",23561,11977,11679,1609,97.5,13.4,
"De 25 a 29 años (004)",20331,23286,22768,1751,97.8,7.5,
"De 30 a 34 años (005)",18132,34063,33119,1469,97.2,4.3,
"De 35 a 39 años (006)",16735,43618,41881,978,96,2.2,
"De 40 a 44 años (007)",14821,47848,45408,393,94.9,0.8,
"De 45 a 49 años (008)",12764,47865,44694,65,93.4,0.1,
"De 50 y más años (009)",41927,203798,178488,1,87.6,,
"PEA (010)",75174,161322,150479,2329,93.3,1.4,
"De 12 a 14 años (011)",759,22,21,,95.5,,
"De 15 a 19 años (012)",4898,622,610,147,98.1,23.6,
"De 20 a 24 años (013)",9790,4468,4345,416,97.2,9.3,
"De 25 a 29 años (014)",10769,9684,9450,579,97.6,6,
"De 30 a 34 años (015)",10160,15970,15546,579,97.3,3.6,
"De 35 a 39 años (016)",9390,21508,20687,415,96.2,1.9,
"De 40 a 44 años (017)",8295,23962,22799,159,95.1,0.7,
"De 45 a 49 años (018)",7037,23678,22214,33,93.8,0.1,
"De 50 y más años (019)",14076,61408,54807,1,89.3,,
"Ocupada (020)",71887,157530,146879,2197,93.2,1.4,
"De 12 a 14 años (021)",729,22,21,,95.5,,
"De 15 a 19 años (022)",4496,579,567,138,97.9,23.8,
"De 20 a 24 años (023)",8955,4158,4047,379,97.3,9.1,
"De 25 a 29 años (024)",10051,9240,9013,542,97.5,5.9,
"De 30 a 34 años (025)",9696,15425,15014,554,97.3,3.6,
"De 35 a 39 años (026)",9086,20857,20070,396,96.2,1.9,
"De 40 a 44 años (027)",8091,23412,22271,156,95.1,0.7,
"De 45 a 49 años (028)",6889,23168,21749,31,93.9,0.1,
"De 50 y más años (029)",13894,60669,54127,1,89.2,,
"Desocupada (030)",3287,3792,3600,132,94.9,3.5,
"De 12 a 14 años (031)",30,,,,,,
"De 15 a 19 años (032)",402,43,43,9,100,20.9,
"De 20 a 24 años (033)",835,310,298,37,96.1,11.9,
"De 25 a 29 años (034)",718,444,437,37,98.4,8.3,
