"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ANTONIO RAYMONDI (000)",3767,19,1185,1222,990,351
"Empleado (001)",595,1,130,283,175,6
"Obrero (002)",582,2,244,182,121,33
"Trabajador independiente (003)",1769,2,428,546,538,255
"Empleador o patrono (004)",28,1,8,9,6,4
"Trabajador familiar no remunerado (005)",269,9,141,50,54,15
"Trabajador del hogar (006)",38,,22,7,7,2
"Desocupado (008)",486,4,212,145,89,36
"Hombres (009)",3166,14,948,1030,855,319
"Empleado (010)",399,,66,189,140,4
"Obrero (011)",548,2,226,176,111,33
"Trabajador independiente (012)",1547,1,352,482,478,234
"Empleador o patrono (013)",24,1,8,7,4,4
"Trabajador familiar no remunerado (014)",220,8,126,37,40,9
"Trabajador del hogar (015)",5,,1,2,1,1
"Desocupado (017)",423,2,169,137,81,34
"Mujeres (018)",601,5,237,192,135,32
"Empleado (019)",196,1,64,94,35,2
"Obrero (020)",34,,18,6,10,
"Trabajador independiente (021)",222,1,76,64,60,21
"Empleador o patrono (022)",4,,,2,2,
"Trabajador familiar no remunerado (023)",49,1,15,13,14,6
"Trabajador del hogar (024)",33,,21,5,6,1
"Desocupado (026)",63,2,43,8,8,2
,,,,,,
"URBANA (027)",1366,6,431,493,339,97
"Empleado (028)",418,1,76,210,125,6
"Obrero (029)",243,,118,72,42,11
"Trabajador independiente (030)",485,1,141,147,133,63
"Empleador o patrono (031)",18,,5,8,4,1
"Trabajador familiar no remunerado (032)",49,3,19,13,11,3
"Trabajador del hogar (033)",22,,16,3,3,
"Desocupado (035)",131,1,56,40,21,13
"Hombres (036)",1001,3,309,350,255,84
"Empleado (037)",278,,42,134,98,4
"Obrero (038)",227,,111,69,36,11
"Trabajador independiente (039)",347,,93,101,98,55
"Empleador o patrono (040)",14,,5,6,2,1
"Trabajador familiar no remunerado (041)",26,3,11,5,7,
"Trabajador del hogar (042)",2,,1,1,,
"Desocupado (044)",107,,46,34,14,13
"Mujeres (045)",365,3,122,143,84,13
"Empleado (046)",140,1,34,76,27,2
"Obrero (047)",16,,7,3,6,
"Trabajador independiente (048)",138,1,48,46,35,8
"Empleador o patrono (049)",4,,,2,2,
"Trabajador familiar no remunerado (050)",23,,8,8,4,3
"Trabajador del hogar (051)",20,,15,2,3,
"Desocupado (053)",24,1,10,6,7,
,,,,,,
"RURAL (054)",2401,13,754,729,651,254
"Empleado (055)",177,,54,73,50,
"Obrero (056)",339,2,126,110,79,22
"Trabajador independiente (057)",1284,1,287,399,405,192
"Empleador o patrono (058)",10,1,3,1,2,3
"Trabajador familiar no remunerado (059)",220,6,122,37,43,12
"Trabajador del hogar (060)",16,,6,4,4,2
"Desocupado (062)",355,3,156,105,68,23
"Hombres (063)",2165,11,639,680,600,235
"Empleado (064)",121,,24,55,42,
"Obrero (065)",321,2,115,107,75,22
"Trabajador independiente (066)",1200,1,259,381,380,179
"Empleador o patrono (067)",10,1,3,1,2,3
"Trabajador familiar no remunerado (068)",194,5,115,32,33,9
"Trabajador del hogar (069)",3,,,1,1,1
"Desocupado (071)",316,2,123,103,67,21
"Mujeres (072)",236,2,115,49,51,19
"Empleado (073)",56,,30,18,8,
"Obrero (074)",18,,11,3,4,
"Trabajador independiente (075)",84,,28,18,25,13
"Trabajador familiar no remunerado (077)",26,1,7,5,10,3
"Trabajador del hogar (078)",13,,6,3,3,1
"Desocupado (080)",39,1,33,2,1,2
