"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ANTABAMBA (000)",3290,40,1302,1024,395,137,69,23,3,,297
"Conviviente (001)",1034,15,454,321,104,28,11,4,1,,96
"Separado(a) (002)",163,2,62,48,25,14,3,2,,,7
"Casado(a) (003)",1449,14,573,477,182,56,36,14,1,,96
"Viudo(a) (004)",461,8,166,135,68,28,13,2,1,,40
"Divorciado(a) (005)",10,,4,2,2,1,1,,,,
"Soltero(a) (006)",173,1,43,41,14,10,5,1,,,58
,,,,,,,,,,,
"URBANA (008)",2292,30,893,702,273,113,49,16,2,,214
"Conviviente (009)",698,11,299,220,71,22,7,2,,,66
"Separado(a) (010)",133,1,49,38,22,13,2,1,,,7
"Casado(a) (011)",1024,10,400,328,123,49,27,11,1,,75
"Viudo(a) (012)",312,7,114,87,46,23,8,1,1,,25
"Divorciado(a) (013)",7,,3,1,2,,1,,,,
"Soltero(a) (014)",118,1,28,28,9,6,4,1,,,41
,,,,,,,,,,,
"RURAL (016)",998,10,409,322,122,24,20,7,1,,83
"Conviviente (017)",336,4,155,101,33,6,4,2,1,,30
"Separado(a) (018)",30,1,13,10,3,1,1,1,,,
"Casado(a) (019)",425,4,173,149,59,7,9,3,,,21
"Viudo(a) (020)",149,1,52,48,22,5,5,1,,,15
"Divorciado(a) (021)",3,,1,1,,1,,,,,
"Soltero(a) (022)",55,,15,13,5,4,1,,,,17
