"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CONDESUYOS (000)",16843,3285,4773,4225,2997,1563
"Hombres (001)",9458,1650,2820,2607,1681,700
"Mujeres (002)",7385,1635,1953,1618,1316,863
"PEA (003)",8683,73,2792,3179,2016,623
"Hombres (004)",6402,47,2136,2397,1406,416
"Mujeres (005)",2281,26,656,782,610,207
"Ocupada (006)",8408,70,2673,3106,1962,597
"Hombres (007)",6179,46,2042,2340,1360,391
"Mujeres (008)",2229,24,631,766,602,206
"Desocupada (009)",275,3,119,73,54,26
"Hombres (010)",223,1,94,57,46,25
"Mujeres (011)",52,2,25,16,8,1
"No PEA (012)",8160,3212,1981,1046,981,940
"Hombres (013)",3056,1603,684,210,275,284
"Mujeres (014)",5104,1609,1297,836,706,656
,,,,,,
"URBANA (018)",6910,1527,1891,1625,1287,580
"Hombres (019)",3533,764,990,822,718,239
"Mujeres (020)",3377,763,901,803,569,341
"PEA (021)",3333,40,946,1203,927,217
"Hombres (022)",2185,27,649,761,609,139
"Mujeres (023)",1148,13,297,442,318,78
"Ocupada (024)",3219,40,898,1168,901,212
"Hombres (025)",2102,27,614,737,589,135
"Mujeres (026)",1117,13,284,431,312,77
"Desocupada (027)",114,,48,35,26,5
"Hombres (028)",83,,35,24,20,4
"Mujeres (029)",31,,13,11,6,1
"No PEA (030)",3577,1487,945,422,360,363
"Hombres (031)",1348,737,341,61,109,100
"Mujeres (032)",2229,750,604,361,251,263
,,,,,,
"RURAL (036)",9933,1758,2882,2600,1710,983
"Hombres (037)",5925,886,1830,1785,963,461
"Mujeres (038)",4008,872,1052,815,747,522
"PEA (039)",5350,33,1846,1976,1089,406
"Hombres (040)",4217,20,1487,1636,797,277
"Mujeres (041)",1133,13,359,340,292,129
"Ocupada (042)",5189,30,1775,1938,1061,385
"Hombres (043)",4077,19,1428,1603,771,256
"Mujeres (044)",1112,11,347,335,290,129
"Desocupada (045)",161,3,71,38,28,21
"Hombres (046)",140,1,59,33,26,21
"Mujeres (047)",21,2,12,5,2,
"No PEA (048)",4583,1725,1036,624,621,577
"Hombres (049)",1708,866,343,149,166,184
"Mujeres (050)",2875,859,693,475,455,393
