"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CONCEPCION (000)",60121,1059,19587,14847,10733,8756,5139
"Hombres (001)",29280,544,9924,7420,5028,3998,2366
"Mujeres (002)",30841,515,9663,7427,5705,4758,2773
"Viviendas particulares (003)",59074,1054,19573,14359,10302,8659,5127
"Hombres (004)",28390,542,9921,7000,4651,3919,2357
"Mujeres (005)",30684,512,9652,7359,5651,4740,2770
"Viviendas colectivas (006)",999,4,14,467,417,89,8
"Hombres (007)",857,1,3,409,364,75,5
"Mujeres (008)",142,3,11,58,53,14,3
"Otro tipo (009)",48,1,,21,14,8,4
"Hombres (010)",33,1,,11,13,4,4
"Mujeres (011)",15,,,10,1,4,
,,,,,,,
"URBANA (012)",30619,463,8868,7947,5768,4766,2807
"Hombres (013)",14620,225,4549,3873,2562,2138,1273
"Mujeres (014)",15999,238,4319,4074,3206,2628,1534
"Viviendas particulares (015)",30262,459,8855,7766,5659,4728,2795
"Hombres (016)",14369,224,4547,3722,2494,2118,1264
"Mujeres (017)",15893,235,4308,4044,3165,2610,1531
"Viviendas colectivas (018)",316,4,13,165,95,31,8
"Hombres (019)",221,1,2,141,55,17,5
"Mujeres (020)",95,3,11,24,40,14,3
"Otro tipo (021)",41,,,16,14,7,4
"Hombres (022)",30,,,10,13,3,4
"Mujeres (023)",11,,,6,1,4,
,,,,,,,
"RURAL (024)",29502,596,10719,6900,4965,3990,2332
"Hombres (025)",14660,319,5375,3547,2466,1860,1093
"Mujeres (026)",14842,277,5344,3353,2499,2130,1239
"Viviendas particulares (027)",28812,595,10718,6593,4643,3931,2332
"Hombres (028)",14021,318,5374,3278,2157,1801,1093
"Mujeres (029)",14791,277,5344,3315,2486,2130,1239
"Viviendas colectivas (030)",683,,1,302,322,58,
"Hombres (031)",636,,1,268,309,58,
"Mujeres (032)",47,,,34,13,,
"Otro tipo (033)",7,1,,5,,1,
"Hombres (034)",3,1,,1,,1,
"Mujeres (035)",4,,,4,,,
