"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CHUMBIVILCAS (000)",25175,88448,75086,,1552,84.9,1.8
"De 12 a 14 años (001)",3309,19,18,,3,94.7,15.8
"De 15 a 19 años (002)",3069,487,478,159,98.2,32.6,
"De 20 a 24 años (003)",2182,2614,2516,358,96.3,13.7,
"De 25 a 29 años (004)",2245,5072,4830,356,95.2,7,
"De 30 a 34 años (005)",2103,7121,6633,299,93.1,4.2,
"De 35 a 39 años (006)",2067,9428,8614,226,91.4,2.4,
"De 40 a 44 años (007)",2057,11961,10593,118,88.6,1,
"De 45 a 49 años (008)",1761,11320,9753,32,86.2,0.3,
"De 50 y más años (009)",6382,40426,31651,1,78.3,,
"PEA (010)",8778,35948,31160,662,86.7,1.8,
"De 12 a 14 años (011)",158,5,4,2,80,40,
"De 15 a 19 años (012)",610,180,179,60,99.4,33.3,
"De 20 a 24 años (013)",912,1103,1065,149,96.6,13.5,
"De 25 a 29 años (014)",1042,2229,2138,149,95.9,6.7,
"De 30 a 34 años (015)",976,3077,2882,130,93.7,4.2,
"De 35 a 39 años (016)",974,4240,3907,102,92.1,2.4,
"De 40 a 44 años (017)",976,5516,4930,51,89.4,0.9,
"De 45 a 49 años (018)",824,4918,4297,18,87.4,0.4,
"De 50 y más años (019)",2306,14680,11758,1,80.1,,
"Ocupada (020)",8650,35680,30920,652,86.7,1.8,
"De 12 a 14 años (021)",153,5,4,2,80,40,
"De 15 a 19 años (022)",580,169,168,55,99.4,32.5,
"De 20 a 24 años (023)",882,1089,1051,148,96.5,13.6,
"De 25 a 29 años (024)",1022,2185,2096,146,95.9,6.7,
"De 30 a 34 años (025)",965,3061,2866,130,93.6,4.2,
"De 35 a 39 años (026)",965,4202,3871,101,92.1,2.4,
"De 40 a 44 años (027)",970,5472,4895,51,89.5,0.9,
"De 45 a 49 años (028)",820,4903,4285,18,87.4,0.4,
"De 50 y más años (029)",2293,14594,11684,1,80.1,,
"Desocupada (030)",128,268,240,10,89.6,3.7,
"De 12 a 14 años (031)",5,,,,,,
"De 15 a 19 años (032)",30,11,11,5,100,45.5,
"De 20 a 24 años (033)",30,14,14,1,100,7.1,
"De 25 a 29 años (034)",20,44,42,3,95.5,6.8,
"De 30 a 34 años (035)",11,16,16,,100,,
