"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia CHOTA",,,,,,,,,
"Hogares (001)",39231,779,318,196,169,83,84,88,37514
"Ocupantes presentes (002)",159146,2817,1037,639,697,384,413,549,152610
"Casa independiente",,,,,,,,,
"Hogares (004)",38485,753,307,187,163,81,82,85,36827
"Ocupantes presentes (005)",156428,2735,991,613,672,368,407,541,150101
"Departamento en edificio",,,,,,,,,
"Hogares (007)",84,9,2,,1,,,1,71
"Ocupantes presentes (008)",243,18,5,,4,,,1,215
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",84,1,,,,,,,83
"Ocupantes presentes (011)",236,1,,,,,,,235
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",63,1,1,2,1,1,1,,56
"Ocupantes presentes (014)",195,4,6,5,3,5,2,,170
"Choza o cabaña",,,,,,,,,
"Hogares (016)",495,14,7,7,4,1,1,2,459
"Ocupantes presentes (017)",1976,58,24,21,18,11,4,7,1833
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",1,,,,,,,,1
"Ocupantes presentes (020)",1,,,,,,,,1
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",16,1,1,,,,,,14
"Ocupantes presentes (023)",59,1,11,,,,,,47
"Otro tipo",,,,,,,,,
"Hogares (025)",3,,,,,,,,3
"Ocupantes presentes (026)",8,,,,,,,,8
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",8747,299,128,86,74,33,39,30,8058
"Ocupantes presentes (029)",31640,992,383,278,286,133,188,162,29218
"Casa independiente",,,,,,,,,
"Hogares (031)",8505,287,125,84,72,32,38,29,7838
"Ocupantes presentes (032)",30937,968,372,273,279,128,186,161,28570
"Departamento en edificio",,,,,,,,,
"Hogares (034)",84,9,2,,1,,,1,71
"Ocupantes presentes (035)",243,18,5,,4,,,1,215
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",84,1,,,,,,,83
"Ocupantes presentes (038)",236,1,,,,,,,235
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",63,1,1,2,1,1,1,,56
"Ocupantes presentes (041)",195,4,6,5,3,5,2,,170
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",1,,,,,,,,1
"Ocupantes presentes (047)",1,,,,,,,,1
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",8,1,,,,,,,7
"Ocupantes presentes (050)",21,1,,,,,,,20
"Otro tipo",,,,,,,,,
"Hogares (052)",2,,,,,,,,2
"Ocupantes presentes (053)",7,,,,,,,,7
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",30484,480,190,110,95,50,45,58,29456
"Ocupantes presentes (056)",127506,1825,654,361,411,251,225,387,123392
"Casa independiente",,,,,,,,,
"Hogares (058)",29980,466,182,103,91,49,44,56,28989
"Ocupantes presentes (059)",125491,1767,619,340,393,240,221,380,121531
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",495,14,7,7,4,1,1,2,459
"Ocupantes presentes (071)",1976,58,24,21,18,11,4,7,1833
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",8,,1,,,,,,7
"Ocupantes presentes (077)",38,,11,,,,,,27
"Otro tipo",,,,,,,,,
"Hogares (079)",1,,,,,,,,1
"Ocupantes presentes (080)",1,,,,,,,,1
