"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia JAEN (000)",45065,897,19938,12481,3969,1369,548,157,23,,5683
"Sin Nivel (001)",8076,288,3955,2013,568,177,111,50,7,,907
"Educación Inicial (002)",57,1,24,15,2,1,,,,,14
"Primaria (003)",20231,478,10571,5249,1340,447,192,53,9,,1892
"Secundaria (004)",10382,115,4517,3097,785,265,106,24,3,,1470
"Sup. no Univ. Incompleta (005)",1256,6,262,448,186,61,12,2,,,279
"Sup. no Univ. Completa (006)",2270,4,257,793,504,192,52,10,1,,457
"Sup. Univ. Incompleta (007)",709,,128,243,84,32,8,1,,,213
"Sup. Univ. Completa (008)",2084,5,224,623,500,194,67,17,3,,451
,,,,,,,,,,,
"URBANA (010)",24025,411,9087,6864,2538,948,406,114,16,,3641
"Sin Nivel (011)",2330,94,1066,535,164,48,50,23,3,,347
"Educación Inicial (012)",23,,10,6,1,,,,,,6
"Primaria (013)",8602,221,4181,2210,613,246,143,43,7,,938
"Secundaria (014)",7280,82,3034,2186,598,219,87,20,2,,1052
"Sup. no Univ. Incompleta (015)",1101,5,231,401,157,51,10,1,,,245
"Sup. no Univ. Completa (016)",2071,4,234,714,462,171,50,10,1,,425
"Sup. Univ. Incompleta (017)",661,,120,227,78,31,6,1,,,198
"Sup. Univ. Completa (018)",1957,5,211,585,465,182,60,16,3,,430
,,,,,,,,,,,
"RURAL (020)",21040,486,10851,5617,1431,421,142,43,7,,2042
"Sin Nivel (021)",5746,194,2889,1478,404,129,61,27,4,,560
"Educación Inicial (022)",34,1,14,9,1,1,,,,,8
"Primaria (023)",11629,257,6390,3039,727,201,49,10,2,,954
"Secundaria (024)",3102,33,1483,911,187,46,19,4,1,,418
"Sup. no Univ. Incompleta (025)",155,1,31,47,29,10,2,1,,,34
"Sup. no Univ. Completa (026)",199,,23,79,42,21,2,,,,32
"Sup. Univ. Incompleta (027)",48,,8,16,6,1,2,,,,15
"Sup. Univ. Completa (028)",127,,13,38,35,12,7,1,,,21
